customer_id,gender,marital_status,income,age,customer_since_months,customer_rel_dur_segment,city_grp,occupation_adm-clerical,occupation_armed-forces,occupation_craft-repair,occupation_exec-managerial,occupation_farming-fishing,occupation_handlers-cleaners,occupation_machine-op-inspct,occupation_other-service,occupation_priv-house-serv,occupation_prof-specialty,occupation_protective-serv,occupation_sales,occupation_tech-support,occupation_transport-moving,policy_deductable,policy_annual_premium,umbrella_limit,incident_severity,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,months_ago_incident_date,years_auto_old,bodily_injury_single_limit,bodily_injury_total_limit,net_captial,incident_hour_of_the_day_evening,incident_hour_of_the_day_morning,incident_hour_of_the_day_night,property_damage_no,property_damage_yes,police_report_available_no,police_report_available_yes,collision_type_front collision,collision_type_rear collision,collision_type_side collision,authorities_contacted_ambulance,authorities_contacted_fire,authorities_contacted_none,authorities_contacted_other,authorities_contacted_police,motor_addon
sb3001014,1,0,40990,50,110.0,0,unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,1301.13,0,0.2,1,0,2,46200,4200,8400,33600,68000,64.0,17,250,500,-14200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,single vehicle collision
sb3001015,1,1,56754,35,100.0,0,t1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,1131.4,0,0.2,4,0,0,63120,10520,10520,42080,84000,64.0,21,100,300,55700,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,multi-vehicle collision
sb3001016,1,1,31429,30,72.0,0,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1199.44,5000000,0.2,3,1,2,52110,5790,5790,40530,32000,63.0,8,500,1000,63600,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,multi-vehicle collision
sb3001017,0,1,78390,47,95.0,0,t0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,708.64,6000000,0.2,1,0,2,77880,14160,7080,56640,20000,64.0,5,500,1000,53500,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,single vehicle collision
sb3001018,0,1,57720,47,59.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,500,1374.22,0,0.2,1,1,0,72930,6630,13260,53040,20000,64.0,5,500,1000,7700,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,single vehicle collision
sb3001019,0,0,62018,42,99.0,0,t1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1475.73,0,0.2,3,2,0,60400,6040,6040,48320,24000,63.0,6,500,1000,29700,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001020,0,0,57990,38,33.0,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000,1187.96,4000000,0.2,3,1,0,47160,0,5240,41920,36000,64.0,9,250,500,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,multi-vehicle collision
sb3001021,1,1,84043,32,68.0,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,875.15,0,0.2,3,1,2,37840,0,4730,33110,96000,63.0,24,500,1000,46700,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001022,1,0,72191,31,65.0,0,t2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,972.18,0,0.2,3,0,0,71520,17880,5960,47680,80000,64.0,20,100,300,4500,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,multi-vehicle collision
sb3001023,1,1,84049,41,78.0,0,t0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000,1268.79,0,0.2,1,2,2,98160,8180,16360,73620,36000,64.0,9,100,300,-31000,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,single vehicle collision
sb3001024,0,1,78517,48,59.0,0,t2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000,883.31,0,0.2,1,1,2,77880,7080,14160,56640,60000,63.0,15,100,300,-53500,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,single vehicle collision
sb3001025,0,1,62048,34,80.0,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,1266.92,0,0.2,3,1,2,71500,16500,11000,44000,56000,64.0,14,100,300,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,multi-vehicle collision
sb3001026,1,0,83919,47,101.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,1322.1,0,0.2,1,1,2,9020,1640,820,6560,60000,64.0,15,100,300,-29200,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,parked car
sb3001027,1,0,56679,43,124.0,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,500,848.07,3000000,0.2,1,2,1,5720,1040,520,4160,68000,64.0,17,100,300,800,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,vehicle theft
sb3001028,1,0,59893,38,58.0,0,t2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,1291.7,0,0.2,1,1,0,69840,7760,15520,46560,44000,64.0,11,100,300,-55600,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,single vehicle collision
sb3001029,1,1,55948,42,56.0,0,t1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2000,1104.5,0,0.2,1,2,2,91650,14100,14100,63450,36000,63.0,9,500,1000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,single vehicle collision
sb3001030,0,0,81027,43,76.0,0,unknown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1000,954.16,0,0.2,4,0,0,75600,12600,12600,50400,60000,64.0,15,250,500,53200,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,multi-vehicle collision
sb3001031,1,0,48723,32,64.0,0,t1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,1337.28,8000000,0.2,3,2,2,67140,7460,7460,52220,56000,63.0,14,100,300,27500,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001032,0,0,47898,35,17.0,1,t0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1088.34,0,0.2,3,2,2,29790,3310,3310,23170,48000,63.0,12,500,1000,81100,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,multi-vehicle collision
sb3001033,1,0,31307,39,103.0,0,t0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1558.29,0,0.2,3,1,2,77110,14020,14020,49070,20000,64.0,5,100,300,-12600,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,multi-vehicle collision
sb3001034,1,0,71645,39,85.0,0,t1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,500,1415.68,0,0.2,1,0,1,64800,10800,5400,48600,84000,63.0,21,500,1000,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,single vehicle collision
sb3001035,0,1,71183,48,85.0,0,unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1334.15,6000000,0.2,1,2,0,53100,10620,5310,37170,100000,64.0,25,100,300,4100,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,single vehicle collision
sb3001036,0,1,65571,39,104.0,0,unknown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1000,988.45,0,0.2,1,1,1,60200,6020,6020,48160,64000,64.0,16,100,300,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,single vehicle collision
sb3001037,0,1,52373,31,44.0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,1222.48,0,0.2,1,1,1,5330,1230,820,3280,76000,64.0,19,500,1000,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,parked car
sb3001038,1,0,58539,42,84.0,0,t1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,1155.55,0,0.2,3,2,0,62300,12460,6230,43610,52000,64.0,13,500,1000,65700,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,multi-vehicle collision
sb3001039,0,0,47000,46,79.0,0,t0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,500,1262.08,0,0.2,1,0,2,60170,10940,10940,38290,36000,64.0,9,250,500,48500,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,single vehicle collision
sb3001040,1,1,35418,49,101.0,0,t1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,500,1451.62,0,0.2,1,2,2,40000,8000,4000,28000,40000,64.0,10,100,300,-55700,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,single vehicle collision
sb3001041,1,1,39263,38,79.0,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,500,1737.66,0,0.2,1,1,1,97080,16180,16180,64720,76000,64.0,19,250,500,-24100,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,single vehicle collision
sb3001042,0,0,47998,31,63.0,0,t0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,500,1475.93,0,0.2,3,1,0,51660,5740,5740,40180,40000,64.0,10,500,1000,-67400,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,multi-vehicle collision
sb3001043,0,0,35659,32,38.0,0,unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,500,538.17,0,0.2,1,2,2,51120,5680,5680,39760,60000,63.0,15,250,500,-10500,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,single vehicle collision
sb3001044,1,1,66358,32,100.0,0,t1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,1081.08,0,0.2,1,0,2,56400,11280,11280,33840,24000,63.0,6,100,300,7700,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,single vehicle collision
sb3001045,1,1,54841,41,90.0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1454.43,0,0.2,3,2,2,55120,6890,0,48230,72000,63.0,18,250,500,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,multi-vehicle collision
sb3001046,1,0,59492,36,31.0,0,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,500,1240.47,0,0.2,3,1,1,77110,0,14020,63090,24000,63.0,6,100,300,35300,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,multi-vehicle collision
sb3001047,1,0,53601,30,109.0,0,t1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,1273.7,4000000,0.2,3,2,1,62800,6280,6280,50240,68000,64.0,17,500,1000,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,multi-vehicle collision
sb3001048,0,0,41650,34,53.0,0,t1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000,1123.87,8000000,0.2,1,2,0,7290,810,810,5670,100000,63.0,25,500,1000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,vehicle theft
sb3001049,1,1,63561,42,70.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1245.89,0,0.2,1,0,0,76600,15320,7660,53620,80000,64.0,20,100,300,-40300,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,single vehicle collision
sb3001050,1,1,83686,32,63.0,0,unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000,1326.62,7000000,0.2,3,0,2,81800,16360,8180,57260,88000,64.0,22,250,500,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,multi-vehicle collision
sb3001051,1,0,81250,31,63.0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,1073.83,0,0.2,1,1,2,7260,1320,660,5280,48000,64.0,12,100,300,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,vehicle theft
sb3001052,1,1,78619,49,89.0,0,t1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000,1530.52,0,0.2,1,2,1,4300,430,430,3440,80000,63.0,20,100,300,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,vehicle theft
sb3001053,1,1,35200,44,86.0,0,t2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500,1201.41,0,0.2,3,1,0,70510,12820,12820,44870,84000,64.0,21,100,300,41900,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001054,1,0,56284,36,71.0,0,t2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1000,1393.57,0,0.2,1,0,1,2640,480,480,1680,44000,63.0,11,250,500,8000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,parked car
sb3001055,1,1,40321,50,51.0,0,unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000,1276.57,0,0.2,1,1,2,78900,15780,7890,55230,100000,64.0,25,100,300,71500,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,single vehicle collision
sb3001056,0,1,57094,36,32.0,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,500,1082.49,0,0.2,3,2,2,56430,0,6270,50160,24000,63.0,6,250,500,-18900,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,multi-vehicle collision
sb3001057,1,0,52230,43,59.0,0,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1414.74,0,0.2,1,1,2,2400,300,300,1800,24000,63.0,6,500,1000,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,parked car
sb3001058,0,1,76086,46,78.0,0,t1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,1470.06,0,0.2,1,0,1,65790,7310,7310,51170,52000,64.0,13,250,500,10800,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,single vehicle collision
sb3001059,0,1,49106,47,50.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,870.63,0,0.2,3,1,1,62920,11440,5720,45760,80000,64.0,20,250,500,36300,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001060,1,1,37567,32,54.0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,500,795.23,0,0.2,3,2,1,69480,15440,0,54040,24000,64.0,6,100,300,36900,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,multi-vehicle collision
sb3001061,0,0,48930,36,101.0,0,t2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1000,1168.2,0,0.2,3,0,2,44280,7380,3690,33210,92000,63.0,23,500,1000,69100,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,multi-vehicle collision
sb3001062,1,1,33763,48,100.0,0,t2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000,993.51,0,0.2,1,0,2,56300,5630,11260,39410,36000,64.0,9,500,1000,-49500,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,single vehicle collision
sb3001063,0,1,54492,42,109.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,1848.81,0,0.2,3,2,2,68520,11420,5710,51390,68000,63.0,17,500,1000,-49000,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,multi-vehicle collision
sb3001064,0,1,68388,35,87.0,0,t0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,1641.73,5000000,0.2,3,0,0,59130,6570,6570,45990,56000,64.0,14,250,500,62400,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,multi-vehicle collision
sb3001065,0,1,49488,43,122.0,0,t2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,500,1362.87,0,0.2,3,2,2,82320,13720,6860,61740,100000,63.0,25,100,300,35700,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,multi-vehicle collision
sb3001066,1,1,75436,39,112.0,0,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,1239.22,7000000,0.2,1,0,1,89700,13800,13800,62100,44000,64.0,11,250,500,-47800,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,single vehicle collision
sb3001067,0,1,37826,41,36.0,0,t0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,500,835.02,0,0.2,3,1,1,33930,0,3770,30160,88000,63.0,22,250,500,59600,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,multi-vehicle collision
sb3001068,0,1,32224,40,98.0,0,t0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000,1061.33,0,0.2,1,0,2,68530,12460,6230,49840,92000,64.0,23,100,300,-22900,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,single vehicle collision
sb3001069,1,1,59735,47,99.0,0,t1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1279.08,0,0.2,1,0,1,4300,860,860,2580,64000,63.0,16,500,1000,-51500,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,parked car
sb3001070,0,1,78459,41,67.0,0,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,1105.49,0,0.2,2,2,2,68310,12420,6210,49680,68000,63.0,17,100,300,6200,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,multi-vehicle collision
sb3001071,1,1,79074,41,81.0,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,1055.53,0,0.2,1,0,2,61290,6810,6810,47670,100000,63.0,25,100,300,-12500,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,single vehicle collision
sb3001072,1,0,78767,42,53.0,0,unknown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1000,895.83,0,0.2,1,1,2,30100,3010,0,27090,84000,63.0,21,250,500,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,single vehicle collision
sb3001073,1,0,60453,42,82.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,1632.93,0,0.2,3,2,0,57120,9520,4760,42840,72000,63.0,18,100,300,-42900,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,multi-vehicle collision
sb3001074,1,1,41977,36,61.0,0,t0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1000,1405.99,0,0.2,3,1,0,42930,9540,4770,28620,60000,62.0,15,100,300,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,multi-vehicle collision
sb3001075,0,0,34149,47,58.0,0,unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1425.54,0,0.2,3,2,0,51210,11380,5690,34140,40000,64.0,10,100,300,78300,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,multi-vehicle collision
sb3001076,0,0,74414,39,71.0,0,t2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1038.09,0,0.2,3,1,1,89400,14900,7450,67050,88000,64.0,22,500,1000,-19700,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,multi-vehicle collision
sb3001077,0,0,54551,47,102.0,0,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,1307.11,0,0.2,3,0,2,59730,10860,10860,38010,60000,63.0,15,250,500,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,multi-vehicle collision
sb3001078,0,1,33181,47,108.0,0,t1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1000,1489.24,6000000,0.2,1,2,2,8060,1240,1240,5580,64000,64.0,16,500,1000,-45000,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,vehicle theft
sb3001079,0,0,50004,47,77.0,0,t0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,500,976.67,0,0.2,1,1,2,72200,14440,7220,50540,28000,64.0,7,500,1000,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,single vehicle collision
sb3001080,1,0,56539,50,20.0,1,t1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,1340.43,0,0.2,3,1,2,50800,10160,10160,30480,60000,63.0,15,250,500,12100,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,multi-vehicle collision
sb3001081,1,0,31309,38,105.0,0,t1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,1267.81,5000000,0.2,1,2,1,6600,660,1320,4620,60000,64.0,15,500,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,vehicle theft
sb3001082,0,0,81146,34,50.0,0,t2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1234.2,6000000,0.2,1,2,2,7500,750,1500,5250,72000,64.0,18,250,500,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,vehicle theft
sb3001083,1,0,31577,31,109.0,0,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,1318.06,0,0.2,1,0,2,6490,1180,1180,4130,72000,64.0,18,250,500,-23300,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,vehicle theft
sb3001084,1,1,34445,41,21.0,1,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,769.95,0,0.2,2,2,2,60940,5540,11080,44320,28000,64.0,7,500,1000,-44200,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,multi-vehicle collision
sb3001085,0,0,33429,39,55.0,0,t0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,1514.72,0,0.2,3,0,1,58300,5830,11660,40810,52000,63.0,13,100,300,35700,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,multi-vehicle collision
sb3001086,0,0,84435,35,54.0,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000,873.64,4000000,0.2,3,2,1,68400,11400,11400,45600,52000,64.0,13,500,1000,800,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,multi-vehicle collision
sb3001087,1,0,61487,43,103.0,0,t0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500,1612.43,0,0.2,1,2,1,64240,11680,11680,40880,20000,64.0,5,500,1000,36400,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,single vehicle collision
sb3001088,1,1,65489,30,66.0,0,t1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2000,1318.24,9000000,0.2,1,0,1,4700,940,470,3290,72000,64.0,18,500,1000,-78600,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,parked car
sb3001089,1,1,33516,37,65.0,0,t1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000,1226.83,0,0.2,3,2,0,45120,0,5640,39480,36000,64.0,9,100,300,-56100,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,multi-vehicle collision
sb3001090,1,1,54382,32,88.0,0,t1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000,1326.44,5000000,0.2,2,1,1,66950,10300,10300,46350,100000,63.0,25,250,500,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,multi-vehicle collision
sb3001091,1,1,41240,31,52.0,0,t0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1136.83,4000000,0.2,1,0,2,98340,8940,17880,71520,64000,63.0,16,250,500,-62400,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,single vehicle collision
sb3001092,1,1,51703,33,71.0,0,t2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,1322.78,0,0.2,1,0,1,5900,590,590,4720,52000,63.0,13,250,500,55200,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,parked car
