customer_id,income,marital_status,travel_amt,travel_trans,fuel_amt,fuel_trans,entertainment_amt,entertainment_trans,food_amt,food_trans,bill_amt,bill_trans,total_amt,total_trans,age,customer_since_months,occupation_business,occupation_doctor,occupation_engineer,occupation_lawyer,occupation_teacher,city_grp_t0,city_grp_t1,city_grp_t2,city_grp_t3,city_grp_unknown,card_type
c1013,6.280958553011161,0,0,0,0,0,171670,1,445727,3,0,0,617397,4,47,177.0,1,0,0,0,0,0,1,0,0,0,silver
c1014,6.166112343915922,0,0,0,87864,1,331698,2,237339,2,174027,2,830928,7,31,169.0,0,1,0,0,0,0,0,1,0,0,silver
c1015,6.215689369059896,0,0,0,177488,1,298417,1,0,0,0,0,475905,2,32,145.0,1,0,0,0,0,1,0,0,0,0,silver
c1016,5.83888811254627,0,0,0,0,0,0,0,679170,4,257258,2,936428,6,36,234.0,0,0,0,1,0,0,0,0,1,0,silver
c1017,6.022958851435879,1,0,0,125742,2,13787,1,437461,5,191251,1,768241,9,34,215.0,0,1,0,0,0,0,0,0,1,0,silver
c1018,5.818151964856963,0,85688,1,190441,1,0,0,285715,2,155114,1,716958,5,31,190.0,0,1,0,0,0,0,1,0,0,0,silver
c1019,6.085807712290026,0,0,0,354295,2,79847,1,371243,2,0,0,805385,5,41,184.0,0,0,0,1,0,0,1,0,0,0,silver
c1020,5.979609371951323,1,0,0,150636,1,258811,1,571846,3,0,0,981293,5,50,266.0,0,1,0,0,0,0,0,0,1,0,silver
c1021,6.062367227979567,0,0,0,0,0,0,0,169075,1,41516,1,210591,2,34,250.0,0,0,0,0,1,0,1,0,0,0,silver
c1022,6.12628015282064,1,0,0,404549,3,0,0,245663,2,195444,1,845656,6,41,197.0,0,0,1,0,0,1,0,0,0,0,silver
c1023,6.098355023027966,0,0,0,225547,1,482378,2,259217,1,113674,2,1080816,6,31,142.0,1,0,0,0,0,0,0,1,0,0,silver
c1024,5.832091661896109,1,0,0,0,0,64323,2,408044,2,787208,4,1259575,8,30,242.0,0,0,0,0,1,0,0,1,0,0,silver
c1025,6.0322777985338165,0,199741,1,199625,1,468591,3,432167,2,0,0,1300124,7,32,224.0,0,0,0,0,1,0,0,0,1,0,silver
c1026,6.032816525269212,0,0,0,739486,3,0,0,796230,4,38053,1,1573769,8,42,177.0,0,0,1,0,0,0,0,1,0,0,silver
c1027,6.229681586398637,0,124093,1,541691,3,0,0,554483,2,0,0,1220267,6,34,247.0,0,0,0,1,0,1,0,0,0,0,silver
c1028,6.112310345388268,1,0,0,0,0,0,0,243067,3,0,0,243067,3,35,158.0,0,0,1,0,0,0,0,0,1,0,silver
c1029,6.298603339851767,0,0,0,0,0,327911,2,85667,1,628180,2,1041758,5,31,148.0,0,1,0,0,0,0,1,0,0,0,silver
c1030,6.114430824733974,1,0,0,0,0,0,0,362610,3,83933,1,446543,4,48,131.0,0,0,0,0,1,0,1,0,0,0,silver
c1031,6.29926949387654,1,0,0,186758,1,0,0,309096,2,0,0,495854,3,42,232.0,0,0,0,1,0,0,0,0,1,0,silver
c1032,5.936857422921501,0,76554,1,358000,2,177571,2,454458,3,0,0,1066583,8,37,245.0,1,0,0,0,0,1,0,0,0,0,silver
c1033,6.177425675770264,1,0,0,259812,1,833720,5,387162,3,292510,2,1773204,11,36,125.0,1,0,0,0,0,1,0,0,0,0,silver
c1034,6.08464776085473,0,0,0,137339,1,0,0,336278,2,0,0,473617,3,46,241.0,0,0,0,1,0,1,0,0,0,0,silver
c1035,6.085616979332072,0,0,0,0,0,0,0,670814,3,0,0,670814,3,30,247.0,1,0,0,0,0,0,0,1,0,0,silver
c1036,6.091094789091466,0,0,0,0,0,189070,2,236215,3,0,0,425285,5,46,177.0,0,1,0,0,0,0,1,0,0,0,silver
c1037,6.2935991972964445,0,0,0,0,0,231686,1,142854,1,156591,1,531131,3,31,228.0,0,1,0,0,0,1,0,0,0,0,silver
c1038,6.225703845101068,0,0,0,325320,3,94085,1,225389,1,0,0,644794,5,37,148.0,0,0,1,0,0,0,0,1,0,0,silver
c1039,6.277329296377624,0,0,0,0,0,132513,1,97683,1,0,0,230196,2,46,193.0,1,0,0,0,0,0,0,1,0,0,silver
c1040,5.796996628372477,0,0,0,0,0,122517,1,41791,2,270558,1,434866,4,30,208.0,1,0,0,0,0,0,0,0,1,0,silver
c1041,5.92338496007667,0,0,0,9011,1,9924,1,455526,3,9937,1,484398,6,48,222.0,0,0,1,0,0,0,0,0,1,0,silver
c1042,6.204809962493426,0,111237,1,0,0,686082,5,286997,5,0,0,1084316,11,30,154.0,0,0,1,0,0,0,0,0,1,0,silver
c1043,6.078697462168081,0,0,0,238469,1,267109,1,233934,2,0,0,739512,4,31,195.0,0,0,0,1,0,0,1,0,0,0,silver
c1044,5.847048598739388,1,0,0,403709,2,410411,2,0,0,0,0,814120,4,46,210.0,0,1,0,0,0,0,0,0,1,0,silver
c1045,5.934390874287679,1,255641,1,136609,2,0,0,263468,2,185835,1,841553,6,31,212.0,0,1,0,0,0,0,0,0,0,1,silver
c1046,6.188999033315047,0,0,0,279450,1,161861,1,189948,1,394617,3,1025876,6,30,147.0,0,0,0,1,0,0,0,0,1,0,silver
c1047,6.147989953957261,0,0,0,100298,1,0,0,898645,5,0,0,998943,6,42,163.0,0,1,0,0,0,0,1,0,0,0,silver
c1048,6.285160862527532,1,0,0,161024,2,216710,1,577936,3,516806,2,1472476,8,45,204.0,0,0,1,0,0,0,0,0,1,0,silver
c1049,6.259401055202225,0,100105,1,485387,2,286740,1,271898,2,193638,1,1337768,7,46,250.0,0,0,1,0,0,0,1,0,0,0,silver
c1050,5.921129597532691,0,0,0,0,0,0,0,609943,3,196156,2,806099,5,33,248.0,0,0,0,1,0,0,1,0,0,0,silver
c1051,6.2785997420249835,1,0,0,77400,1,0,0,275978,2,0,0,353378,3,43,176.0,0,0,1,0,0,1,0,0,0,0,silver
c1052,6.124729138951279,1,0,0,0,0,92397,1,504235,2,491598,1,1088230,4,39,221.0,0,0,0,1,0,0,0,0,0,1,silver
c1053,6.079393636488761,0,0,0,158622,2,0,0,524226,4,344560,2,1027408,8,32,161.0,0,0,0,1,0,0,1,0,0,0,silver
c1054,5.845993623856277,0,0,0,0,0,216995,1,258525,2,2179,1,477699,4,37,202.0,0,0,0,0,1,0,0,0,1,0,silver
c1055,6.22090217285257,0,0,0,0,0,26157,1,252899,1,286317,2,565373,4,35,188.0,1,0,0,0,0,0,0,0,0,1,silver
c1056,6.235178850677315,1,0,0,0,0,16557,1,283968,2,31497,1,332022,4,48,144.0,0,0,1,0,0,0,0,0,0,1,silver
c1057,5.9582565673082355,1,0,0,0,0,229269,1,771969,4,0,0,1001238,5,44,177.0,0,0,0,1,0,0,0,1,0,0,silver
c1058,5.817984918738763,1,0,0,0,0,312066,2,445094,3,0,0,757160,5,30,239.0,0,0,1,0,0,0,0,0,0,1,silver
c1059,6.276934215793355,1,189181,1,0,0,468474,2,874936,5,847958,1,2380549,9,43,250.0,0,0,0,1,0,0,1,0,0,0,silver
c1060,6.146885528768454,1,0,0,133935,1,0,0,298953,1,0,0,432888,2,36,163.0,0,0,0,1,0,0,0,1,0,0,silver
c1061,6.20577826052722,0,0,0,11523,1,0,0,473010,4,0,0,484533,5,32,158.0,0,1,0,0,0,1,0,0,0,0,silver
c1062,6.265477967909598,0,0,0,0,0,163191,1,118231,1,186731,2,468153,4,32,240.0,0,1,0,0,0,0,0,0,1,0,silver
c1063,6.271301072987928,0,0,0,0,0,32789,1,223447,2,105808,1,362044,4,49,159.0,0,0,0,1,0,0,1,0,0,0,silver
c1064,5.805087436021832,0,0,0,501412,2,0,0,475338,2,0,0,976750,4,44,178.0,0,0,1,0,0,0,0,0,0,1,silver
c1065,6.297868360265814,0,0,0,231135,2,0,0,185046,1,0,0,416181,3,35,180.0,1,0,0,0,0,0,0,0,0,1,silver
c1066,5.985734009141717,1,0,0,59053,1,0,0,0,0,563281,3,622334,4,35,166.0,0,0,1,0,0,0,0,0,1,0,silver
c1067,5.832821747501544,0,0,0,0,0,141670,1,421781,3,0,0,563451,4,35,254.0,0,0,1,0,0,1,0,0,0,0,silver
c1068,6.139739649196543,1,0,0,342137,2,0,0,605091,4,112181,1,1059409,7,31,243.0,0,0,0,1,0,0,0,0,0,1,silver
c1069,6.139545054755002,0,0,0,492644,3,0,0,405610,3,156269,1,1054523,7,49,183.0,0,0,1,0,0,0,1,0,0,0,silver
c1070,6.120955745056627,0,0,0,89840,1,0,0,363321,2,319989,2,773150,5,47,239.0,0,1,0,0,0,0,0,0,0,1,silver
c1071,6.109597780966004,0,0,0,0,0,0,0,146808,2,105320,1,252128,3,39,226.0,1,0,0,0,0,1,0,0,0,0,silver
c1072,6.011748860956458,0,0,0,29681,1,0,0,254625,1,136023,1,420329,3,50,235.0,0,0,0,0,1,0,0,0,0,1,silver
c1073,6.232285419638907,1,0,0,33212,1,158102,1,425324,3,157663,1,774301,6,47,160.0,0,1,0,0,0,0,0,0,0,1,silver
c1074,6.128317830867412,0,0,0,217466,1,610480,3,54186,1,463768,2,1345900,7,44,143.0,0,0,1,0,0,0,0,0,1,0,silver
c1075,6.202524007298143,0,0,0,361739,2,548157,3,476644,2,46064,1,1432604,8,41,140.0,0,0,0,0,1,0,0,0,1,0,silver
c1076,6.219822039720002,0,0,0,74892,1,0,0,570290,4,221807,1,866989,6,46,222.0,0,0,0,1,0,0,0,0,0,1,silver
c1077,5.950399421283193,0,0,0,0,0,52957,2,74671,1,353972,2,481600,5,45,148.0,0,1,0,0,0,0,0,1,0,0,silver
c1078,6.165986711810355,1,0,0,403066,2,272228,2,791917,6,135440,1,1602651,11,41,162.0,1,0,0,0,0,0,0,0,1,0,silver
c1079,6.15561717490398,0,0,0,248150,1,0,0,0,0,32586,1,280736,2,36,180.0,0,1,0,0,0,0,1,0,0,0,silver
c1080,5.975970550858693,0,0,0,288476,1,444598,2,275924,1,0,0,1008998,4,48,186.0,0,0,1,0,0,1,0,0,0,0,silver
c1081,6.286561999016952,0,0,0,347597,2,653072,3,29757,2,307126,2,1337552,9,38,234.0,0,0,0,0,1,0,0,0,1,0,silver
c1082,6.135975287361177,1,0,0,203722,1,251908,1,352299,2,0,0,807929,4,44,169.0,0,1,0,0,0,1,0,0,0,0,silver
c1083,6.234520573609935,0,0,0,0,0,0,0,651654,4,213843,3,865497,7,48,234.0,0,0,0,0,1,0,0,0,0,1,silver
c1084,5.985736701917582,0,0,0,0,0,159007,1,363476,3,109985,1,632468,5,49,266.0,1,0,0,0,0,0,1,0,0,0,silver
c1085,6.139062285745024,0,0,0,527996,4,0,0,122694,1,117137,1,767827,6,35,206.0,0,0,0,1,0,0,1,0,0,0,silver
c1086,6.013349221616341,1,0,0,0,0,0,0,616407,3,54242,1,670649,4,40,167.0,0,1,0,0,0,0,0,0,0,1,silver
c1087,6.1368318210534305,1,0,0,258930,1,43419,1,59048,1,0,0,361397,3,47,268.0,0,0,0,0,1,0,1,0,0,0,silver
c1088,5.840960036278359,0,0,0,0,0,231550,2,285131,1,0,0,516681,3,34,268.0,0,0,1,0,0,1,0,0,0,0,silver
c1089,5.937994050936113,1,0,0,271345,2,0,0,171401,2,60032,1,502778,5,36,267.0,0,0,0,1,0,0,0,0,1,0,silver
c1090,6.239732556350025,0,0,0,219104,2,483412,2,210839,1,100949,1,1014304,6,39,235.0,0,1,0,0,0,1,0,0,0,0,silver
c1091,5.881944142339559,1,263627,2,75039,1,309367,3,362493,2,17102,1,1027628,9,37,197.0,0,0,1,0,0,0,0,0,0,1,silver
c1092,6.098161408518675,0,0,0,0,0,0,0,206525,1,513663,2,720188,3,35,193.0,0,0,1,0,0,0,1,0,0,0,silver
c1093,6.281892919385595,0,0,0,0,0,0,0,292047,1,21018,1,313065,2,48,143.0,0,0,0,0,1,0,0,0,0,1,silver
c1094,6.028543193434761,1,0,0,165801,2,0,0,411115,3,686619,1,1263535,6,38,229.0,0,0,0,0,1,1,0,0,0,0,silver
c1095,6.27218519028771,0,0,0,450248,3,0,0,368670,3,271894,2,1090812,8,34,149.0,1,0,0,0,0,0,0,1,0,0,silver
c1096,6.217092112846969,1,0,0,0,0,335146,2,237658,1,232336,1,805140,4,42,132.0,0,0,0,0,1,0,0,0,1,0,silver
c1097,6.274625849626254,1,0,0,9988,1,17642,1,0,0,628149,3,655779,5,40,174.0,1,0,0,0,0,0,0,1,0,0,silver
c1098,6.031163978553565,1,0,0,166366,1,0,0,13681,1,0,0,180047,2,49,196.0,0,1,0,0,0,0,0,0,0,1,silver
c1099,6.104634241199974,0,0,0,279043,2,204579,1,209232,1,422759,3,1115613,7,44,167.0,1,0,0,0,0,1,0,0,0,0,silver
c1100,6.295997662607352,1,0,0,0,0,0,0,709200,5,278133,1,987333,6,36,232.0,0,1,0,0,0,0,0,1,0,0,silver
c1101,6.302539582382069,1,0,0,483141,2,0,0,339818,2,593991,1,1416950,5,45,250.0,0,0,0,0,1,0,1,0,0,0,silver
c1102,5.8425861515028545,0,0,0,417986,2,0,0,628673,3,245068,1,1291727,6,37,143.0,0,1,0,0,0,0,0,0,1,0,silver
c1103,5.925152683393988,0,0,0,0,0,35528,1,62831,1,0,0,98359,2,44,127.0,0,0,1,0,0,0,0,0,0,1,silver
c1104,6.182596949368943,1,0,0,69046,1,69156,1,258089,1,0,0,396291,3,44,173.0,1,0,0,0,0,0,0,0,1,0,silver
c1105,6.02833737013227,0,0,0,193602,1,487634,2,652819,3,239819,1,1573874,7,31,245.0,0,0,0,1,0,0,1,0,0,0,silver
c1106,6.196524641863037,0,0,0,239446,1,0,0,375859,2,0,0,615305,3,47,159.0,0,0,0,1,0,0,0,0,1,0,silver
c1107,6.200589514818265,1,0,0,0,0,0,0,594919,3,144880,1,739799,4,43,187.0,0,0,1,0,0,0,0,0,0,1,silver
c1108,5.888271062531482,0,0,0,354693,2,0,0,122674,2,128292,2,605659,6,37,169.0,0,0,0,0,1,0,0,0,0,1,silver
c1109,6.003705615284702,1,0,0,458706,2,161119,1,104716,1,395383,2,1119924,6,47,215.0,1,0,0,0,0,0,1,0,0,0,silver
c1110,5.88084902012241,1,0,0,0,0,398866,2,122944,1,59566,2,581376,5,40,265.0,0,0,0,1,0,0,1,0,0,0,silver
c1111,5.90523066014486,0,206496,1,0,0,517167,2,132956,2,784919,4,1641538,9,44,209.0,1,0,0,0,0,0,1,0,0,0,silver
c1112,6.035171486354781,1,0,0,67022,1,350506,2,178385,3,0,0,595913,6,49,194.0,0,0,0,1,0,1,0,0,0,0,silver
c1113,6.242051701409944,1,0,0,0,0,0,0,427051,3,96825,1,523876,4,39,222.0,0,1,0,0,0,0,0,1,0,0,silver
c1114,6.128951479672972,1,0,0,0,0,199035,1,588188,3,209160,1,996383,5,39,230.0,0,0,0,1,0,0,0,0,0,1,silver
c1115,5.818224573567932,0,0,0,243983,2,212299,1,1147840,9,0,0,1604122,12,49,144.0,0,0,0,1,0,0,0,0,0,1,silver
c1116,6.301882980405876,1,0,0,0,0,149235,1,0,0,0,0,149235,1,43,173.0,0,1,0,0,0,1,0,0,0,0,silver
c1117,5.963150552124525,0,0,0,0,0,5180,1,403534,2,261870,2,670584,5,41,125.0,0,0,0,1,0,0,0,0,0,1,silver
c1118,6.272872006790296,0,0,0,111456,1,364663,2,0,0,99709,2,575828,5,49,212.0,0,0,0,1,0,0,1,0,0,0,silver
c1119,6.201966250616169,0,0,0,241044,2,173972,2,426540,2,458906,2,1300462,8,47,236.0,0,0,0,1,0,1,0,0,0,0,silver
c1120,6.100887599121774,0,0,0,410491,2,0,0,497955,3,0,0,908446,5,34,158.0,0,0,0,0,1,1,0,0,0,0,silver
c1121,5.930148438330529,1,0,0,0,0,327812,2,184721,2,286935,1,799468,5,48,240.0,0,1,0,0,0,1,0,0,0,0,silver
c1122,6.158891767443066,0,0,0,650401,5,71046,1,616724,4,158138,1,1496309,11,47,157.0,0,0,0,1,0,0,1,0,0,0,silver
c1123,6.17029369941889,1,271499,1,0,0,118776,2,423934,3,488492,2,1302701,8,46,175.0,0,0,1,0,0,0,1,0,0,0,silver
c1124,6.1635158841885085,1,0,0,202977,1,373335,2,676997,5,0,0,1253309,8,47,239.0,0,0,0,1,0,0,0,1,0,0,silver
c1125,6.009849312036835,1,0,0,231218,3,280964,2,1001326,4,17590,1,1531098,10,34,151.0,0,1,0,0,0,0,0,1,0,0,silver
c1126,6.064113037425914,1,130525,1,54693,1,0,0,282042,2,0,0,467260,4,46,254.0,0,1,0,0,0,0,0,0,1,0,silver
c1127,5.958819893385133,1,140226,1,0,0,507797,2,196650,2,213775,1,1058448,6,38,166.0,0,0,0,0,1,0,0,0,0,1,silver
c1128,6.211871493525413,0,0,0,232199,2,25500,1,0,0,0,0,257699,3,49,242.0,0,0,0,0,1,0,0,0,0,1,silver
c1129,5.887343811238546,1,0,0,0,0,859068,4,222608,2,0,0,1081676,6,35,232.0,1,0,0,0,0,0,0,0,0,1,silver
c1130,6.296914728214515,0,147881,1,108624,1,50710,1,211065,2,0,0,518280,5,37,245.0,0,0,0,1,0,0,0,0,0,1,silver
c1131,6.126377556802313,1,32821,1,366172,3,0,0,276358,2,292365,1,967716,7,44,241.0,0,0,0,0,1,0,0,0,0,1,silver
c1132,6.064798178096224,0,0,0,172389,1,0,0,267128,1,0,0,439517,2,40,158.0,0,0,0,1,0,1,0,0,0,0,silver
c1133,5.813875088452699,0,0,0,638997,4,399519,2,373571,5,31651,1,1443738,12,33,199.0,0,0,1,0,0,0,1,0,0,0,silver
c1134,6.160855232152447,1,0,0,0,0,0,0,0,0,189018,2,189018,2,35,189.0,0,0,1,0,0,0,1,0,0,0,silver
c1135,6.096766498401316,0,0,0,294587,1,1610,1,16479,1,133987,1,446663,4,32,235.0,0,0,0,0,1,0,0,0,0,1,silver
c1136,6.234619011913103,0,0,0,0,0,0,0,312361,2,167244,1,479605,3,49,127.0,0,1,0,0,0,0,0,0,0,1,silver
c1137,6.014014967750485,0,0,0,104859,2,276447,2,49592,1,0,0,430898,5,47,174.0,0,0,1,0,0,0,0,0,0,1,silver
c1138,6.0682248351431936,0,0,0,270366,1,278257,1,325835,2,1210172,3,2084630,7,37,187.0,0,0,0,1,0,0,1,0,0,0,silver
c1139,6.187320165849828,1,0,0,240063,1,0,0,747703,5,645919,3,1633685,9,42,149.0,0,0,0,1,0,0,0,0,1,0,silver
c1140,6.13823131007902,1,0,0,297012,2,43337,1,362215,4,0,0,702564,7,45,227.0,0,0,1,0,0,0,0,0,0,1,silver
c1141,6.293674294969728,0,0,0,0,0,30956,1,109371,3,53959,1,194286,5,44,243.0,0,1,0,0,0,0,0,0,0,1,silver
c1142,6.299877805395209,1,0,0,416328,2,262464,1,456886,2,48103,1,1183781,6,34,248.0,0,0,0,0,1,0,0,1,0,0,silver
c1143,6.209178708263892,1,0,0,222787,2,0,0,560069,2,0,0,782856,4,37,151.0,0,0,0,0,1,0,0,0,1,0,silver
c1144,6.284011126816262,0,0,0,173395,2,0,0,53275,1,0,0,226670,3,33,142.0,0,0,1,0,0,0,0,0,0,1,silver
c1145,6.258590834193163,0,0,0,101280,1,0,0,0,0,0,0,101280,1,31,251.0,0,1,0,0,0,0,0,1,0,0,silver
c1146,6.168012535513059,1,129164,1,0,0,316046,2,133304,1,223356,1,801870,5,47,236.0,0,0,1,0,0,1,0,0,0,0,silver
c1147,6.0985779710772805,1,0,0,42266,1,0,0,665347,6,483443,2,1191056,9,38,146.0,0,0,0,1,0,0,0,1,0,0,silver
c1148,5.961122443612405,0,0,0,0,0,652887,3,474216,2,854498,2,1981601,7,38,206.0,0,0,0,1,0,0,1,0,0,0,silver
c1149,6.196568282887369,1,0,0,385259,2,538771,2,596053,3,539901,3,2059984,10,43,172.0,0,0,0,1,0,1,0,0,0,0,silver
c1150,6.291630769148999,0,0,0,512789,3,0,0,665570,3,0,0,1178359,6,41,229.0,0,0,0,1,0,0,0,0,0,1,silver
c1151,5.9932373354056265,0,0,0,0,0,0,0,62418,1,0,0,62418,1,44,184.0,0,0,1,0,0,0,0,0,1,0,silver
c1152,6.014015808756144,1,0,0,273263,1,0,0,918521,5,16372,1,1208156,7,34,253.0,0,0,0,1,0,0,0,0,1,0,silver
c1153,6.037471518796423,0,0,0,0,0,0,0,269364,2,409685,2,679049,4,35,268.0,0,0,0,0,1,0,0,0,1,0,silver
c1154,5.82544104841264,1,0,0,434618,2,285625,2,103322,3,34470,1,858035,8,35,216.0,1,0,0,0,0,0,0,1,0,0,silver
c1155,5.881748603940773,0,0,0,250978,1,0,0,0,0,198285,1,449263,2,32,137.0,0,0,0,1,0,1,0,0,0,0,silver
c1156,6.012083935233904,0,0,0,290774,1,0,0,138231,2,60212,1,489217,4,32,127.0,0,1,0,0,0,0,1,0,0,0,silver
c1157,6.045527166562081,1,0,0,255656,1,0,0,689389,4,48778,1,993823,6,33,143.0,0,0,0,1,0,0,0,0,0,1,silver
c1158,6.219789575857628,0,0,0,0,0,0,0,118086,2,498300,2,616386,4,33,227.0,1,0,0,0,0,0,0,0,1,0,silver
c1159,5.912513260443221,0,0,0,0,0,0,0,352306,2,394862,2,747168,4,35,195.0,0,0,0,0,1,0,0,1,0,0,silver
c1160,6.162558432692636,1,70237,1,123440,2,0,0,315469,3,298469,1,807615,7,33,177.0,0,1,0,0,0,0,0,0,0,1,silver
c1161,6.159183557452288,0,0,0,0,0,222675,2,641955,4,391325,1,1255955,7,36,149.0,0,0,0,1,0,1,0,0,0,0,silver
c1162,5.927455057604555,0,0,0,381880,2,0,0,624272,3,356586,2,1362738,7,41,143.0,0,0,0,0,1,1,0,0,0,0,silver
c1163,5.965013450272248,1,0,0,381255,2,0,0,0,0,294460,1,675715,3,36,193.0,0,0,1,0,0,0,0,0,1,0,silver
c1164,5.980337945019835,0,0,0,293827,1,0,0,240858,2,560290,3,1094975,6,38,213.0,1,0,0,0,0,0,1,0,0,0,silver
c1165,6.167974188256279,1,0,0,322862,2,0,0,736567,3,250750,1,1310179,6,45,156.0,1,0,0,0,0,0,0,0,0,1,silver
c1166,6.18452364152104,0,0,0,287013,2,0,0,536866,4,0,0,823879,6,44,203.0,0,0,0,0,1,1,0,0,0,0,silver
c1167,6.14305260409957,0,0,0,0,0,371945,2,730958,4,146218,2,1249121,8,40,192.0,0,0,0,1,0,0,0,0,0,1,silver
c1168,6.1682905992975074,0,0,0,113971,2,0,0,722544,4,0,0,836515,6,31,189.0,0,0,0,1,0,0,0,0,0,1,silver
c1169,6.282153129814236,0,0,0,10521,1,0,0,230808,2,260429,1,501758,4,36,230.0,0,0,0,0,1,0,1,0,0,0,silver
c1170,6.2739300159175,0,0,0,80232,2,0,0,106013,1,0,0,186245,3,46,225.0,1,0,0,0,0,0,1,0,0,0,silver
c1171,6.253061151308934,0,0,0,428067,3,125663,1,152741,1,258416,1,964887,6,39,169.0,1,0,0,0,0,0,1,0,0,0,silver
c1172,5.929105098457281,0,0,0,175700,1,0,0,11929,1,0,0,187629,2,30,243.0,0,0,0,0,1,0,0,0,0,1,silver
c1173,6.283153271945335,1,0,0,224956,1,0,0,189552,2,42486,1,456994,4,45,146.0,0,1,0,0,0,0,1,0,0,0,silver
c1174,5.930356499962718,1,0,0,0,0,98448,1,866292,4,235035,1,1199775,6,41,206.0,0,0,0,0,1,0,0,0,1,0,silver
c1175,6.02876233275431,1,0,0,18162,1,0,0,637406,4,80898,1,736466,6,42,181.0,0,0,1,0,0,0,0,0,1,0,silver
c1176,6.117187080774818,0,0,0,198736,2,256718,1,165188,1,0,0,620642,4,46,147.0,0,0,0,0,1,1,0,0,0,0,silver
c1177,6.022052892699389,0,0,0,0,0,0,0,253488,2,427118,2,680606,4,50,156.0,0,1,0,0,0,0,1,0,0,0,silver
c1178,6.163164357758546,0,0,0,438572,2,106251,1,737742,5,120188,1,1402753,9,37,254.0,0,1,0,0,0,0,0,1,0,0,silver
c1179,5.8358129175204105,0,0,0,320801,2,184974,2,488011,2,343293,3,1337079,9,33,218.0,0,0,0,0,1,1,0,0,0,0,silver
c1180,6.294044513333111,1,0,0,115382,1,0,0,282319,2,277084,1,674785,4,32,165.0,0,1,0,0,0,0,1,0,0,0,silver
c1181,6.038686512945413,1,0,0,139184,1,0,0,420453,3,272299,1,831936,5,38,211.0,0,0,0,1,0,0,0,1,0,0,silver
c1182,5.864534812348904,1,0,0,0,0,0,0,219424,1,246053,1,465477,2,39,153.0,0,1,0,0,0,0,0,0,0,1,silver
c1183,6.235918379347552,0,0,0,183759,2,122419,1,793652,5,139246,1,1239076,9,42,239.0,1,0,0,0,0,0,0,0,1,0,silver
c1184,6.098428774724561,0,0,0,73784,1,0,0,705711,4,290136,1,1069631,6,44,177.0,0,0,1,0,0,1,0,0,0,0,silver
c1185,6.304310396083447,1,0,0,97367,1,641539,3,383838,4,183905,1,1306649,9,45,137.0,0,0,0,0,1,0,0,0,1,0,silver
c1186,6.156636667691322,0,0,0,225915,2,264150,1,760286,7,38827,1,1289178,11,37,265.0,0,1,0,0,0,0,0,0,0,1,silver
c1187,6.192285823256132,1,0,0,121888,1,101201,1,395162,4,0,0,618251,6,41,177.0,1,0,0,0,0,1,0,0,0,0,silver
c1188,6.2392792032339734,0,0,0,243204,1,0,0,556513,3,205940,1,1005657,5,47,218.0,0,0,0,0,1,0,0,1,0,0,silver
c1189,6.086968839660949,1,10277,1,0,0,298112,1,235611,1,475948,3,1019948,6,35,128.0,1,0,0,0,0,0,0,1,0,0,silver
c1190,5.824602840010258,1,0,0,110350,1,716179,4,410937,3,0,0,1237466,8,41,131.0,0,0,1,0,0,0,0,1,0,0,silver
