Card Type,Gender,customer_id,occupation,dob,income,city,marital_status
Signature,M,C3491,lawyer,02/02/1986,1655935,Kolkata,unmarried
Signature,M,C2523,business,10/07/1983,860402,Chennai,unmarried
Signature,F,C3071,teacher,01/22/1982,999325,Kolkata,unmarried
Silver,F,C2140,lawyer,12/15/1975,1956259,Delhi,unmarried
Signature,M,C3299,engineer,04/29/1981,1030628,Bangalore,married
Platinum,M,C3884,lawyer,07/06/1984,1707794,Chennai,unmarried
Platinum,M,C3923,doctor,04/17/1973,1207105,Kolkata,unmarried
Silver,F,C2217,business,04/06/1972,969739,Bangalore,unmarried
Platinum,F,C3925,lawyer,10/16/1976,1550953,Bangalore,unmarried
Platinum,F,C3717,business,04/24/1975,1131047,Kolkata,married
Platinum,F,C3986,engineer,03/03/1973,1960307,Bangalore,unmarried
Signature,M,C3160,lawyer,05/10/1983,1529986,Kolkata,unmarried
Platinum,F,C4473,teacher,03/04/1980,1244272,Chennai,unmarried
Platinum,M,C3512,doctor,02/12/1978,1797672,Bangalore,unmarried
Gold,F,C5078,engineer,01/26/1971,995807,Chennai,married
Platinum,M,C3574,teacher,05/20/1978,1227573,Bangalore,unmarried
Gold,F,C4892,teacher,01/07/1984,892760,Delhi,unmarried
Gold,F,C5668,teacher,04/16/1973,1267108,Bangalore,unmarried
Gold,F,C5196,doctor,11/06/1974,1784432,Mumbai,married
Silver,F,C1531,business,09/13/1970,1892685,Mumbai,married
Signature,M,C2387,teacher,02/11/1973,951315,Kolkata,married
Platinum,M,C4131,doctor,08/31/1970,1423741,Bangalore,unmarried
Silver,M,C1834,business,02/19/1976,1037091,Chennai,unmarried
Platinum,M,C4512,doctor,09/12/1974,1759579,Kolkata,unmarried
Gold,M,C5296,business,07/05/1974,766338,Mumbai,married
Platinum,M,C3830,lawyer,03/09/1977,1722601,Kolkata,unmarried
Silver,M,C1635,lawyer,09/02/1986,1400132,Kolkata,unmarried
Platinum,M,C4126,doctor,09/23/1977,1272016,Chennai,married
Platinum,F,C3777,engineer,08/31/1986,1096374,Delhi,married
Silver,F,C1587,doctor,04/23/1984,1529792,Kolkata,unmarried
Platinum,F,C4118,teacher,01/09/1981,1679744,Kolkata,married
Signature,M,C2523,business,10/07/1983,860402,Chennai,unmarried
Gold,F,C5415,teacher,08/12/1984,843858,Bangalore,unmarried
Silver,M,C1733,business,05/09/1988,1458748,Kolkata,married
Gold,M,C5165,engineer,09/23/1981,1269326,Mumbai,married
Silver,F,C1511,lawyer,07/07/1972,1043451,Delhi,unmarried
Gold,M,C5753,lawyer,08/26/1987,1539850,Mumbai,unmarried
Gold,M,C4889,doctor,03/03/1972,1880107,Delhi,married
Gold,M,C5159,lawyer,01/03/1986,731531,Bangalore,unmarried
Signature,M,C2770,teacher,03/11/1980,925189,Mumbai,unmarried
Platinum,F,C3897,business,02/27/1984,1261976,Delhi,unmarried
Gold,M,C5371,teacher,12/21/1988,940702,Bangalore,unmarried
Gold,M,C5165,engineer,09/23/1981,1269326,Mumbai,married
Gold,F,C5898,teacher,03/13/1988,1471270,Chennai,unmarried
Gold,M,C4958,business,05/28/1975,1880775,Chennai,unmarried
Signature,F,C3333,doctor,07/13/1977,1499494,Chennai,unmarried
Silver,M,C1678,lawyer,10/01/1970,1380776,Bangalore,married
Signature,M,C2669,engineer,05/19/1975,1336460,Chennai,married
Platinum,F,C3672,doctor,07/02/1975,1154364,Bangalore,married
Signature,M,C2634,teacher,02/23/1970,1643581,Mumbai,unmarried
Silver,M,C1958,doctor,11/21/1984,1540544,Mumbai,married
Signature,F,C3443,lawyer,05/17/1973,1419793,Mumbai,married
Silver,M,C1138,lawyer,11/30/1982,1170105,Kolkata,unmarried
Platinum,M,C4019,doctor,06/04/1973,742655,Chennai,unmarried
Signature,F,C3179,teacher,03/12/1979,1574758,Delhi,married
Signature,F,C2386,lawyer,03/14/1972,1312179,Mumbai,married
Gold,M,C4839,business,05/12/1983,1444874,Mumbai,unmarried
Signature,M,C2268,lawyer,11/23/1983,1394489,Mumbai,married
Signature,F,C2372,doctor,11/30/1979,1135647,Kolkata,unmarried
Gold,M,C5970,engineer,02/27/1979,1137372,Delhi,unmarried
Silver,F,C1780,teacher,11/21/1972,1629495,Chennai,unmarried
Platinum,M,C3912,teacher,11/02/1977,1630235,Delhi,unmarried
Silver,M,C1747,lawyer,03/24/1970,730835,Chennai,married
Platinum,M,C4255,engineer,11/05/1988,1332498,Delhi,unmarried
Platinum,M,C4028,engineer,11/22/1973,1947249,Bangalore,married
Signature,M,C2356,teacher,04/29/1986,749984,Kolkata,unmarried
Platinum,F,C3532,business,02/20/1987,1947790,Delhi,married
Platinum,F,C4059,business,04/25/1989,727287,Bangalore,unmarried
Gold,M,C4865,doctor,12/27/1972,1451612,Mumbai,married
Silver,F,C1432,business,11/17/1977,1144640,Delhi,unmarried
Gold,F,C5651,engineer,09/13/1970,702865,Kolkata,married
Signature,M,C2975,teacher,01/12/1976,685572,Kolkata,married
Gold,F,C5305,lawyer,03/25/1975,1874592,Chennai,unmarried
Platinum,F,C3914,teacher,05/16/1984,1278045,Chennai,married
Signature,F,C2500,business,08/31/1974,1112939,Bangalore,married
Gold,M,C5351,business,11/04/1987,1363666,Bangalore,married
Gold,F,C5354,business,11/08/1977,1960970,Bangalore,married
Silver,M,C2045,engineer,08/26/1987,1224675,Kolkata,unmarried
Platinum,F,C3925,lawyer,10/16/1976,1550953,Bangalore,unmarried
Gold,F,C4864,business,01/12/1983,1447547,Bangalore,married
Silver,F,C2214,business,05/02/1975,894792,Kolkata,unmarried
Platinum,M,C4239,business,10/04/1986,653986,Bangalore,unmarried
Gold,M,C5887,lawyer,01/25/1978,933503,Bangalore,unmarried
Signature,M,C2312,teacher,12/17/1987,1815179,Chennai,married
Gold,M,C4772,doctor,11/11/1971,1159524,Chennai,married
Silver,M,C1224,business,09/21/1985,879855,Kolkata,unmarried
Silver,F,C1686,engineer,07/06/1974,1752706,Mumbai,unmarried
Gold,M,C4764,lawyer,07/29/1971,1381076,Kolkata,unmarried
Silver,F,C1837,teacher,01/15/1984,922249,Mumbai,married
Gold,M,C5246,engineer,06/28/1987,912401,Kolkata,married
Gold,M,C5014,lawyer,04/30/1977,946627,Delhi,married
Silver,M,C1201,lawyer,12/10/1983,1317690,Mumbai,married
Signature,F,C2936,business,05/02/1988,1938579,Bangalore,married
Signature,F,C3449,business,08/13/1971,851044,Chennai,married
Signature,M,C3124,lawyer,01/12/1975,1343887,Bangalore,married
Signature,F,C2920,lawyer,01/17/1985,1200887,Chennai,married
Silver,M,C1148,lawyer,09/30/1981,914371,Kolkata,unmarried
Signature,M,C2674,doctor,08/29/1989,1429802,Mumbai,married
Signature,F,C2511,doctor,01/17/1978,1280492,Mumbai,married
Gold,F,C5216,doctor,10/31/1971,1947980,Delhi,unmarried
Gold,M,C4783,engineer,10/20/1970,1518275,Mumbai,married
Signature,M,C2632,lawyer,11/28/1983,2015378,Delhi,unmarried
Silver,M,C1907,business,01/29/1971,1376131,Delhi,married
Platinum,F,C4017,teacher,08/06/1984,1204446,Kolkata,unmarried
Gold,M,C5180,lawyer,09/28/1985,1847500,Bangalore,married
Silver,M,C2052,teacher,03/18/1975,1875048,Mumbai,unmarried
Gold,M,C5371,teacher,12/21/1988,940702,Bangalore,unmarried
Silver,F,C2245,lawyer,07/19/1972,1766828,Mumbai,unmarried
Silver,F,C1399,engineer,05/20/1971,1807863,Chennai,married
Signature,M,C2964,doctor,06/17/1972,1657993,Delhi,married
Gold,F,C5651,engineer,09/13/1970,702865,Kolkata,married
Platinum,F,C4594,lawyer,04/24/1980,1882661,Bangalore,unmarried
Silver,M,C1438,doctor,03/18/1989,1780962,Mumbai,unmarried
Gold,F,C5793,lawyer,01/14/1985,922889,Mumbai,married
Signature,M,C3276,business,10/06/1972,853276,Bangalore,unmarried
Signature,F,C2697,business,05/15/1980,992416,Bangalore,married
Platinum,F,C3823,doctor,11/20/1976,1643590,Delhi,married
Platinum,M,C4462,lawyer,12/04/1975,1526717,Chennai,unmarried
Platinum,M,C4036,doctor,06/05/1971,1958560,Mumbai,married
Silver,M,C1059,lawyer,08/17/1976,1892057,Kolkata,married
Gold,M,C5254,engineer,04/18/1973,1551820,Chennai,married
Platinum,M,C3864,engineer,08/14/1982,1215924,Delhi,unmarried
Signature,F,C3280,doctor,06/06/1979,1425112,Kolkata,married
Gold,M,C5595,doctor,03/17/1985,910960,Mumbai,married
Signature,M,C3326,lawyer,10/03/1982,995440,Kolkata,married
Silver,M,C1310,teacher,04/25/1979,1881250,Delhi,married
Signature,M,C3143,engineer,01/22/1986,1819489,Kolkata,unmarried
Platinum,F,C4360,business,01/20/1987,1404835,Bangalore,unmarried
Silver,F,C1336,business,09/01/1973,1174781,Delhi,unmarried
Gold,F,C5934,teacher,09/26/1985,1453123,Delhi,married
Signature,M,C2887,lawyer,10/02/1981,1967515,Chennai,married
Platinum,F,C3801,doctor,05/30/1987,1615813,Delhi,married
Signature,F,C2675,lawyer,12/08/1971,1643515,Bangalore,married
Platinum,M,C4391,engineer,04/23/1978,1452469,Mumbai,unmarried
Gold,M,C5697,lawyer,02/28/1981,933121,Mumbai,married
Gold,F,C5865,lawyer,04/10/1986,1144640,Kolkata,unmarried
Gold,F,C5485,lawyer,06/17/1988,650673,Mumbai,unmarried
Gold,F,C5519,teacher,04/20/1980,1731741,Mumbai,married
Platinum,F,C3587,lawyer,09/07/1982,1782971,Bangalore,unmarried
Silver,M,C1393,business,03/29/1986,885279,Bangalore,unmarried
Silver,M,C1831,doctor,12/10/1971,641289,Chennai,married
Gold,M,C5659,doctor,06/13/1988,686279,Mumbai,married
Signature,M,C2426,doctor,01/18/1982,1347424,Mumbai,married
Silver,F,C2106,teacher,02/11/1971,1056659,Bangalore,unmarried
Silver,F,C1395,teacher,03/26/1973,874270,Bangalore,married
Platinum,F,C3892,business,01/19/1979,1298449,Chennai,unmarried
Platinum,F,C4057,business,05/09/1977,1270118,Mumbai,married
Platinum,F,C4301,doctor,10/11/1987,1158789,Delhi,unmarried
Signature,M,C3134,engineer,02/01/1979,1326528,Chennai,married
Platinum,F,C4322,lawyer,07/05/1987,1723837,Mumbai,unmarried
Gold,M,C4836,lawyer,10/08/1988,1850461,Kolkata,married
Silver,F,C1285,doctor,03/16/1977,1431606,Bangalore,unmarried
Gold,M,C5301,business,11/15/1983,1524605,Kolkata,unmarried
Signature,F,C2981,business,07/19/1984,1879738,Delhi,unmarried
Silver,M,C1500,teacher,09/17/1975,753068,Chennai,married
Signature,M,C3307,lawyer,05/19/1971,1686987,Delhi,unmarried
Silver,F,C1052,lawyer,05/24/1980,1332690,Bangalore,married
Platinum,M,C3584,lawyer,08/27/1982,1752556,Delhi,unmarried
Gold,M,C5787,engineer,02/17/1988,904228,Kolkata,unmarried
Signature,F,C3149,doctor,12/16/1973,632535,Chennai,married
Signature,F,C2264,teacher,02/10/1970,1664830,Kolkata,married
Signature,F,C2474,doctor,06/18/1975,1083459,Delhi,unmarried
Signature,F,C2355,doctor,01/21/1987,1341637,Bangalore,married
Platinum,F,C4541,doctor,10/27/1987,1661996,Mumbai,unmarried
Signature,F,C3220,teacher,12/05/1983,1710648,Kolkata,unmarried
Signature,F,C3403,engineer,11/14/1974,641094,Bangalore,unmarried
Signature,M,C3213,lawyer,06/17/1983,711257,Delhi,married
Silver,F,C2106,teacher,02/11/1971,1056659,Bangalore,unmarried
Platinum,F,C3696,business,10/21/1988,854649,Bangalore,married
Silver,F,C1029,doctor,04/25/1989,1988856,Kolkata,unmarried
Silver,M,C2055,business,08/01/1978,938679,Chennai,married
Gold,M,C5555,doctor,12/02/1985,1422995,Delhi,married
Silver,F,C2229,business,04/18/1970,836368,Mumbai,married
Gold,F,C5733,doctor,01/02/1977,650084,Kolkata,unmarried
Gold,M,C5035,business,10/29/1976,1380390,Mumbai,married
Silver,M,C1750,business,08/27/1983,1883091,Bangalore,married
Signature,F,C2705,business,05/03/1972,822992,Delhi,unmarried
Platinum,M,C3584,lawyer,08/27/1982,1752556,Delhi,unmarried
Signature,F,C2980,doctor,07/05/1981,1105042,Chennai,married
Gold,M,C4937,business,10/21/1985,1982926,Delhi,unmarried
Signature,M,C3110,engineer,11/08/1981,1520630,Kolkata,unmarried
Signature,F,C2561,business,10/23/1977,860130,Mumbai,unmarried
Gold,F,C5682,engineer,09/03/1983,1933129,Kolkata,married
Signature,F,C2310,teacher,10/27/1979,1599487,Delhi,married
Signature,F,C2383,business,01/09/1974,1711871,Mumbai,unmarried
Gold,M,C5056,lawyer,01/30/1976,957136,Delhi,unmarried
Silver,F,C1270,doctor,07/07/1986,1933710,Chennai,married
Platinum,M,C4193,doctor,10/02/1982,1356180,Bangalore,unmarried
Gold,M,C5817,lawyer,07/23/1980,1886505,Delhi,married
Gold,F,C5741,business,06/16/1972,1086992,Bangalore,unmarried
Platinum,F,C4251,engineer,03/25/1978,1749222,Bangalore,unmarried
Silver,M,C2113,engineer,04/17/1982,1314696,Chennai,married
Platinum,F,C3963,business,03/10/1978,941645,Kolkata,married
Platinum,F,C4708,business,03/01/1978,1850528,Bangalore,unmarried
Platinum,F,C4246,engineer,03/21/1988,945707,Mumbai,married
Signature,F,C3443,lawyer,05/17/1973,1419793,Mumbai,married
Signature,F,C2619,doctor,03/31/1973,1851996,Kolkata,unmarried
Gold,F,C5354,business,11/08/1977,1960970,Bangalore,married
Platinum,F,C4608,lawyer,08/02/1971,1026924,Bangalore,unmarried
Platinum,F,C3703,business,05/25/1970,620569,Delhi,unmarried
Gold,M,C5513,engineer,04/20/1970,755784,Kolkata,unmarried
Platinum,M,C3612,engineer,03/26/1974,1424105,Delhi,married
Gold,M,C5967,teacher,09/15/1977,940603,Chennai,married
Platinum,M,C4699,lawyer,07/26/1983,997540,Bangalore,unmarried
Gold,F,C4949,engineer,02/03/1987,1886951,Chennai,married
Signature,M,C3239,engineer,05/06/1972,1084100,Kolkata,married
Silver,F,C1744,lawyer,06/12/1972,953536,Mumbai,married
Silver,F,C1131,teacher,08/22/1975,1337758,Bangalore,married
Silver,M,C1577,doctor,03/22/1981,966619,Kolkata,unmarried
Platinum,F,C4001,engineer,06/25/1985,695577,Kolkata,married
Signature,F,C3406,engineer,08/29/1989,1917066,Mumbai,unmarried
Signature,F,C2897,engineer,11/05/1982,1689182,Mumbai,married
Gold,F,C5129,engineer,12/09/1978,1648002,Bangalore,married
Gold,M,C5863,lawyer,04/20/1978,1825500,Kolkata,unmarried
Gold,M,C5900,doctor,09/04/1978,1284139,Chennai,unmarried
Gold,M,C4846,lawyer,07/25/1988,1937741,Bangalore,unmarried
Gold,M,C4808,doctor,07/03/1984,1115765,Mumbai,married
Platinum,M,C3534,engineer,04/29/1981,1644053,Bangalore,unmarried
Silver,F,C1908,engineer,07/20/1987,1008803,Delhi,married
Gold,M,C5664,business,06/27/1972,1779942,Kolkata,unmarried
Platinum,M,C3872,business,11/29/1985,768090,Delhi,unmarried
Signature,F,C3464,lawyer,08/09/1988,1619262,Mumbai,unmarried
Gold,M,C5193,engineer,05/19/1972,1027341,Chennai,married
Silver,F,C1193,lawyer,04/02/1972,1688723,Delhi,married
Platinum,F,C4436,business,03/22/1971,1829270,Kolkata,married
Silver,M,C1645,lawyer,04/13/1986,690572,Chennai,married
Silver,F,C2241,doctor,11/05/1970,1126348,Bangalore,married
Gold,F,C5662,teacher,02/20/1978,793064,Chennai,married
Gold,F,C4869,engineer,04/12/1971,1265834,Kolkata,married
Silver,F,C1543,teacher,10/23/1984,870366,Kolkata,married
Silver,F,C1741,business,08/01/1979,1740380,Delhi,married
Platinum,M,C4098,engineer,02/02/1979,701418,Mumbai,married
Silver,M,C1647,teacher,01/13/1986,1561955,Chennai,married
Platinum,F,C3874,doctor,09/10/1982,1334194,Kolkata,married
Silver,F,C1749,business,12/11/1987,640465,Bangalore,unmarried
Signature,F,C2264,teacher,02/10/1970,1664830,Kolkata,married
Silver,F,C1101,teacher,03/02/1975,2006964,Kolkata,married
Signature,F,C3142,teacher,11/21/1986,1282881,Bangalore,unmarried
Gold,M,C5903,engineer,03/14/1970,2001192,Kolkata,unmarried
Platinum,M,C3643,doctor,10/30/1970,895971,Mumbai,unmarried
Platinum,M,C4253,lawyer,02/10/1985,1195549,Delhi,unmarried
Signature,M,C2280,engineer,12/02/1976,830344,Delhi,unmarried
Silver,M,C1683,engineer,07/12/1986,672901,Delhi,married
Gold,M,C5514,engineer,08/28/1984,797600,Mumbai,unmarried
Signature,F,C2974,doctor,01/15/1986,1107968,Kolkata,married
Platinum,M,C4561,doctor,04/06/1976,1832159,Bangalore,married
Signature,M,C3094,engineer,05/20/1980,1198067,Delhi,unmarried
Gold,F,C5943,lawyer,08/24/1972,964430,Chennai,married
Platinum,F,C4616,teacher,10/29/1975,1591169,Mumbai,unmarried
Silver,M,C1094,teacher,06/28/1981,1067931,Chennai,married
Signature,M,C3010,lawyer,01/12/1986,1564345,Chennai,unmarried
Signature,F,C2979,business,05/19/1984,1094081,Kolkata,married
Signature,M,C2563,business,02/20/1987,1730707,Kolkata,married
Platinum,F,C4284,teacher,07/24/1976,1606301,Delhi,married
Silver,F,C2125,lawyer,08/26/1978,1925491,Delhi,married
Signature,M,C3013,teacher,07/14/1989,972323,Kolkata,unmarried
Silver,F,C1161,lawyer,05/08/1983,1442725,Chennai,unmarried
Silver,F,C2116,doctor,10/08/1980,1545561,Mumbai,married
Signature,M,C2424,business,08/03/1987,737876,Bangalore,unmarried
Gold,M,C5295,teacher,11/23/1973,1920688,Delhi,unmarried
Platinum,M,C4217,teacher,01/07/1973,885402,Mumbai,married
Gold,M,C5023,lawyer,11/02/1973,1972558,Delhi,married
Platinum,F,C4210,teacher,06/01/1989,1231859,Bangalore,unmarried
Platinum,F,C4220,lawyer,08/10/1986,1657749,Delhi,married
Silver,M,C2051,business,10/11/1981,1105676,Mumbai,unmarried
Signature,M,C2816,doctor,11/23/1974,1322383,Mumbai,unmarried
Platinum,F,C4157,engineer,10/31/1987,1907710,Kolkata,married
Signature,F,C2447,business,06/21/1971,1882131,Delhi,married
Signature,M,C2678,lawyer,12/06/1970,1035281,Bangalore,married
Signature,M,C3175,lawyer,07/30/1978,711107,Bangalore,unmarried
Signature,F,C3140,lawyer,04/20/1975,646892,Delhi,unmarried
Platinum,F,C4361,business,10/04/1970,1295603,Chennai,married
Platinum,M,C3734,engineer,12/14/1987,1571811,Bangalore,married
Signature,M,C3081,doctor,12/16/1981,1879949,Bangalore,unmarried
Gold,F,C5117,teacher,01/14/1982,1387362,Mumbai,married
Platinum,F,C4222,doctor,11/17/1989,717100,Bangalore,married
Gold,F,C5148,doctor,05/05/1986,1335198,Mumbai,unmarried
Gold,F,C5706,doctor,12/03/1970,1718706,Delhi,married
Signature,F,C2349,teacher,11/12/1986,1463017,Chennai,unmarried
Silver,M,C1280,doctor,04/22/1983,1782088,Delhi,married
Signature,F,C2682,doctor,02/11/1971,1676205,Mumbai,married
Signature,M,C3483,engineer,10/25/1983,839281,Mumbai,married
Gold,F,C5681,business,11/17/1987,1885909,Bangalore,unmarried
Signature,F,C3254,teacher,10/09/1984,1318877,Bangalore,married
Silver,M,C1294,lawyer,10/05/1986,630973,Bangalore,unmarried
Signature,F,C2943,doctor,12/01/1989,715367,Delhi,married
Platinum,F,C3527,business,02/04/1979,931611,Delhi,married
Silver,F,C1527,business,04/18/1979,1887611,Kolkata,unmarried
Platinum,M,C4196,teacher,02/24/1971,668660,Delhi,married
Signature,M,C2295,doctor,07/29/1974,1933212,Delhi,married
Silver,F,C1458,engineer,05/25/1988,987077,Bangalore,married
Signature,F,C2492,lawyer,11/12/1977,1818528,Chennai,unmarried
Platinum,F,C4325,lawyer,04/01/1972,665803,Bangalore,unmarried
Signature,M,C3491,lawyer,02/02/1986,1655935,Kolkata,unmarried
Silver,M,C1977,engineer,03/14/1977,1794418,Chennai,married
Signature,M,C3345,engineer,05/22/1976,744771,Bangalore,married
Gold,F,C4948,doctor,07/08/1985,806839,Chennai,unmarried
Gold,F,C4960,doctor,02/08/1983,699713,Chennai,unmarried
Silver,M,C2210,teacher,06/20/1983,1843628,Delhi,unmarried
Signature,M,C3466,engineer,05/28/1989,1609951,Delhi,married
Gold,F,C5713,engineer,12/17/1989,1719376,Mumbai,married
Silver,F,C1448,teacher,06/21/1978,641892,Mumbai,unmarried
Silver,M,C1371,business,07/27/1977,1088185,Mumbai,married
Signature,M,C2866,teacher,12/20/1973,1822094,Kolkata,unmarried
Signature,M,C2399,lawyer,05/06/1970,1625246,Chennai,unmarried
Signature,M,C2842,teacher,04/17/1985,1218096,Chennai,married
Platinum,M,C4203,doctor,10/16/1970,1940617,Delhi,unmarried
Gold,F,C5792,engineer,03/18/1978,1759581,Kolkata,unmarried
Signature,F,C3280,doctor,06/06/1979,1425112,Kolkata,married
Gold,F,C5216,doctor,10/31/1971,1947980,Delhi,unmarried
Gold,M,C5059,lawyer,10/25/1978,1283283,Bangalore,married
Silver,F,C1979,doctor,04/11/1972,1132571,Chennai,unmarried
Signature,M,C3132,lawyer,12/31/1985,1804653,Mumbai,married
Gold,M,C5088,lawyer,09/09/1975,1777779,Chennai,married
Platinum,M,C3820,teacher,09/25/1981,1931704,Delhi,married
Gold,F,C5385,engineer,08/03/1979,859328,Kolkata,unmarried
Platinum,F,C3840,teacher,09/02/1985,716709,Kolkata,married
Gold,M,C5673,lawyer,08/29/1981,868690,Mumbai,married
Signature,F,C2506,lawyer,01/16/1987,672683,Chennai,married
Platinum,F,C3931,business,10/11/1980,1169121,Bangalore,unmarried
Silver,F,C2219,teacher,11/30/1986,1606461,Delhi,unmarried
Signature,M,C2426,doctor,01/18/1982,1347424,Mumbai,married
Platinum,F,C4604,doctor,07/26/1975,2014455,Delhi,married
Signature,F,C2834,engineer,02/20/1978,1007854,Kolkata,unmarried
Gold,F,C4794,teacher,11/01/1979,1605171,Bangalore,unmarried
Signature,M,C2468,engineer,12/03/1981,761747,Chennai,unmarried
Silver,M,C2098,teacher,09/18/1984,1020854,Chennai,married
Platinum,M,C3669,engineer,10/03/1972,974630,Delhi,unmarried
Signature,F,C2296,doctor,01/25/1989,1646814,Chennai,married
Signature,F,C2420,business,02/18/1977,1810054,Kolkata,unmarried
Platinum,M,C4312,teacher,06/01/1975,1810937,Mumbai,unmarried
Silver,F,C2249,business,11/29/1972,1881495,Delhi,unmarried
Gold,M,C5900,doctor,09/04/1978,1284139,Chennai,unmarried
Gold,F,C5026,business,11/24/1978,1955165,Delhi,unmarried
Silver,F,C1259,business,12/13/1986,1322825,Delhi,unmarried
Platinum,M,C4719,business,01/26/1971,1878254,Kolkata,married
Signature,F,C2430,engineer,06/28/1971,1314343,Bangalore,married
Silver,F,C1455,business,02/05/1975,954428,Chennai,unmarried
Platinum,M,C3848,engineer,11/09/1979,925680,Chennai,unmarried
Platinum,M,C3597,business,12/06/1976,854015,Chennai,unmarried
Signature,F,C3472,business,07/22/1971,1618635,Mumbai,unmarried
Platinum,F,C4627,teacher,03/09/1979,1281010,Bangalore,married
Gold,F,C4955,teacher,09/19/1978,1214409,Kolkata,unmarried
Silver,M,C1411,doctor,08/30/1980,1992651,Chennai,married
Gold,M,C5593,business,12/02/1988,1267832,Delhi,married
Signature,M,C2585,lawyer,02/19/1976,1061419,Mumbai,married
Silver,M,C1300,doctor,02/25/1979,1653460,Kolkata,married
Signature,F,C2710,business,10/17/1980,1899517,Kolkata,unmarried
Platinum,M,C3724,lawyer,03/04/1987,1900516,Mumbai,unmarried
Gold,F,C5553,business,12/13/1971,992230,Chennai,unmarried
Gold,M,C5120,lawyer,01/05/1973,866267,Delhi,married
Signature,F,C3003,engineer,11/20/1979,1461479,Bangalore,married
Silver,M,C1433,teacher,10/02/1972,1730184,Delhi,married
Gold,F,C5994,lawyer,01/28/1975,806552,Kolkata,married
Gold,M,C5937,lawyer,04/15/1979,1202791,Kolkata,unmarried
Gold,F,C5767,business,05/13/1971,1989103,Chennai,unmarried
Silver,M,C1929,engineer,05/24/1974,1803775,Kolkata,married
Platinum,F,C4716,business,06/20/1976,1720864,Delhi,unmarried
Platinum,F,C4409,teacher,11/18/1985,1654183,Chennai,unmarried
