customer_id,occupation,income,marital_status,age,city_grp
c1338,doctor,1646934,married,43,t3
c4884,lawyer,723635,married,33,t0
c1741,business,1740380,married,40,t2
c5832,doctor,1994682,unmarried,44,t2
c2888,doctor,707034,unmarried,37,unknown
c1916,lawyer,629049,married,46,t1
c5686,business,1926947,married,43,unknown
c3548,lawyer,948503,married,30,t2
c3685,business,768021,unmarried,47,t0
c3325,business,1675804,married,33,t1
c2960,business,942428,unmarried,49,t3
c3454,lawyer,1735405,married,39,unknown
c2527,doctor,1921516,married,48,t0
c5801,business,1130352,married,47,t2
c5583,engineer,1687318,unmarried,45,t3
c5386,teacher,720500,married,43,t1
c4394,engineer,1899386,married,44,unknown
c4715,teacher,1240742,married,41,t1
c3210,engineer,1534921,married,38,t1
c3906,lawyer,967116,unmarried,33,t1
c3622,business,1531754,married,32,t0
c1520,engineer,1858654,unmarried,41,t0
c4078,doctor,1702029,married,34,t3
c2918,business,668082,unmarried,41,t0
c5305,lawyer,1874592,unmarried,45,t0
c1254,doctor,928840,unmarried,42,t0
c4522,business,621868,unmarried,36,unknown
c4998,teacher,1826316,married,50,t0
c3295,business,1752680,unmarried,45,t2
c2071,engineer,1054736,unmarried,38,unknown
c2663,doctor,1167865,unmarried,33,t2
c4888,engineer,990406,married,38,t2
c4676,teacher,1708000,unmarried,39,t1
c3893,business,1448103,married,34,t1
c2982,teacher,1603707,married,43,unknown
c3873,teacher,1314234,unmarried,45,t0
c1155,lawyer,761638,unmarried,32,t0
c3707,lawyer,1907840,unmarried,37,t1
c3052,business,1400012,unmarried,37,t0
c1388,doctor,1057635,married,39,t1
c3077,engineer,1609117,married,47,t0
c2185,engineer,966906,unmarried,33,t1
c5576,business,1741801,unmarried,31,t0
c5718,business,1563829,married,35,unknown
c2108,teacher,888730,unmarried,39,t3
c1566,lawyer,1218797,married,41,t1
c1854,lawyer,1166985,married,44,t1
c5646,lawyer,1827047,unmarried,35,t2
c5942,business,1445100,married,39,unknown
c4689,business,1607988,married,49,unknown
c2081,business,982276,married,44,t1
c5556,doctor,1414847,unmarried,34,t0
c3729,lawyer,1003918,unmarried,40,t0
c5758,teacher,1159633,unmarried,40,t1
c4736,business,1654480,unmarried,41,unknown
c1182,doctor,732040,married,39,unknown
c3511,doctor,1468774,married,34,t1
c3265,engineer,729333,married,37,t1
c2215,teacher,782401,unmarried,50,t0
c3003,engineer,1461479,married,40,unknown
c4304,teacher,960870,married,41,t0
c4577,business,682342,married,34,t1
c1082,doctor,1367651,married,44,t0
c2238,lawyer,1834893,unmarried,32,t2
c3188,lawyer,1385106,married,31,t1
c2638,lawyer,791632,married,41,unknown
c3002,doctor,1088569,unmarried,50,unknown
c2614,engineer,1808410,married,33,unknown
c3366,engineer,1532710,unmarried,41,t0
c2389,business,749093,married,41,t0
c1521,doctor,1933975,unmarried,35,t2
c1244,lawyer,954288,unmarried,48,t1
c5883,engineer,1889253,unmarried,36,t1
c3696,business,854649,married,31,unknown
c5423,lawyer,1330619,married,45,t3
c2100,business,1235891,married,33,t1
c5429,lawyer,1580732,married,42,t3
c5969,business,1666529,married,44,t3
c1795,engineer,1368898,unmarried,32,t1
c4575,doctor,1940434,married,43,t1
c1719,teacher,1852134,unmarried,30,t0
c5618,engineer,1116180,unmarried,37,t2
c5755,doctor,651787,married,41,t2
c1485,business,1894723,unmarried,42,t3
c3131,business,1307061,unmarried,39,t3
c3715,business,1433857,married,47,unknown
c4815,teacher,658847,married,44,t1
c1235,engineer,838541,married,38,t1
c5963,engineer,1501338,unmarried,49,unknown
c5574,engineer,1115697,unmarried,48,t2
c2640,lawyer,1784689,married,35,t2
c3433,lawyer,1481937,married,40,unknown
c5798,teacher,1594882,unmarried,33,t1
c3449,business,851044,married,48,t0
c5213,business,664451,unmarried,30,t2
c5344,lawyer,665788,unmarried,34,t0
c3289,doctor,1017808,married,45,unknown
c1476,teacher,1939666,unmarried,49,t3
c2040,teacher,1162312,married,46,t1
c1553,lawyer,1814941,unmarried,45,t1
c5881,doctor,1517229,married,35,unknown
c1298,teacher,1561411,unmarried,50,t2
c3882,doctor,1214354,unmarried,49,t2
c2947,business,1755040,married,37,unknown
c1390,lawyer,1075483,married,48,t2
c3879,business,1247979,married,45,t2
c5082,lawyer,1582702,unmarried,32,t2
c1733,business,1458748,married,31,t1
c5390,lawyer,1192783,married,45,unknown
c1815,lawyer,1721110,unmarried,31,t1
c1093,teacher,1913784,unmarried,48,unknown
c3507,doctor,994562,married,35,t2
c5156,teacher,1001978,unmarried,39,unknown
c3858,lawyer,1627863,unmarried,48,t3
c5887,lawyer,933503,unmarried,42,unknown
c2362,doctor,1958095,unmarried,42,t0
c4101,doctor,1242471,unmarried,46,t0
c2006,lawyer,853644,unmarried,46,unknown
c4172,business,1748887,married,49,t0
c2482,engineer,1717252,married,47,t2
c3486,doctor,1980908,unmarried,47,t2
c1365,engineer,1832288,married,42,t0
c3240,doctor,1628413,married,31,t0
c4382,business,873541,married,34,t0
c3849,doctor,652039,married,32,t0
c2058,doctor,1505045,married,47,t3
c3164,business,1907431,married,44,unknown
c5711,lawyer,1109871,unmarried,47,t0
c1103,engineer,841691,unmarried,44,unknown
c1791,lawyer,951726,unmarried,42,t2
c1780,teacher,1629495,unmarried,47,t0
c4582,business,844660,married,42,t1
c3172,teacher,1886462,unmarried,47,t1
c4148,business,1932808,married,44,t0
c2719,lawyer,1746371,married,49,t1
c2740,lawyer,680698,married,35,t3
c1456,engineer,1223871,unmarried,46,t1
c3302,teacher,1966151,unmarried,33,t1
c1955,doctor,795815,married,36,t2
c5424,teacher,783679,married,33,unknown
c3878,business,1050516,married,36,t0
c4388,lawyer,825890,married,30,t0
c2631,teacher,809223,married,37,t3
c3848,engineer,925680,unmarried,40,t0
c4127,doctor,1522057,married,46,t3
c4579,engineer,1431789,married,39,t0
c5695,lawyer,1262907,unmarried,42,t1
c4625,engineer,1578859,married,32,t1
c4404,teacher,1103329,married,43,t3
c5669,doctor,1351585,unmarried,33,unknown
c3842,teacher,1553159,unmarried,35,t0
c2297,business,913811,unmarried,42,t1
c5132,doctor,1110381,unmarried,37,t0
c2036,doctor,814059,unmarried,42,t0
c1116,doctor,2003932,married,43,t0
c4571,engineer,980421,unmarried,49,t2
c4132,teacher,1529187,unmarried,30,t1
c2396,teacher,618598,unmarried,40,unknown
c5797,doctor,1646745,unmarried,35,t0
c4028,engineer,1947249,married,46,unknown
c2114,doctor,1682138,married,41,t0
c5385,engineer,859328,unmarried,40,t1
c2862,doctor,1718013,unmarried,48,t1
c3339,engineer,792992,unmarried,38,t3
c5466,teacher,971403,married,30,t2
c5827,engineer,1929380,married,45,t3
c1069,engineer,1378939,unmarried,49,t1
c2027,doctor,1493604,married,45,t0
c2808,lawyer,1518709,married,35,unknown
c1475,engineer,1600432,married,49,t1
c5479,doctor,1230347,unmarried,33,t3
c3496,lawyer,804252,unmarried,42,t3
c3905,business,1847374,unmarried,39,t3
c5584,doctor,1281876,married,34,unknown
c3236,teacher,650758,unmarried,40,t1
c1144,engineer,1923141,unmarried,33,unknown
c1487,teacher,1073661,unmarried,48,t3
c4844,teacher,1419721,unmarried,33,t0
c4457,engineer,1186245,married,35,t1
c4139,doctor,1824387,married,37,t2
c2190,business,781813,married,42,t0
c2347,teacher,1437549,unmarried,44,t2
c5696,engineer,889040,married,38,t0
c4216,teacher,1812178,married,32,unknown
c4064,engineer,1565768,unmarried,46,t1
c4011,teacher,1938189,married,35,t2
c1759,doctor,911618,unmarried,35,t3
c2458,teacher,1320918,married,48,unknown
c5052,lawyer,1622754,married,34,t1
c1304,business,1028427,unmarried,44,t0
c1652,doctor,1228258,married,41,t2
c1098,doctor,1074395,married,49,unknown
c1941,teacher,635427,unmarried,43,unknown
c4157,engineer,1907710,married,32,t1
c4344,doctor,638422,unmarried,40,t3
c2066,lawyer,1847625,married,48,unknown
c3772,lawyer,1094508,unmarried,45,t0
c1776,doctor,1078207,unmarried,40,t0
c2848,lawyer,1604254,married,39,t0
c3704,engineer,1292265,unmarried,38,t1
c1835,business,1270415,unmarried,35,t0
c3792,business,1888380,unmarried,46,t0
c2227,engineer,1760533,married,40,unknown
c1968,teacher,1877839,unmarried,34,t1
c5998,business,1193978,unmarried,47,t0
c3819,business,882720,unmarried,49,t2
c1273,doctor,1032067,married,42,t2
c5300,teacher,1121110,unmarried,43,t1
c4775,engineer,1782800,married,36,t2
c4348,teacher,1630865,married,32,t3
c5943,lawyer,964430,married,47,t0
c2158,engineer,995361,married,42,unknown
c5180,lawyer,1847500,married,34,unknown
c1085,lawyer,1377407,unmarried,35,t1
c2489,business,1315050,married,39,unknown
c4305,engineer,1730105,married,39,t0
c5714,teacher,1144408,unmarried,41,unknown
c5697,lawyer,933121,married,39,t3
c5368,engineer,1643508,married,34,t3
c1843,engineer,1109371,unmarried,43,t3
c5428,teacher,1229054,unmarried,38,t1
c1602,teacher,1084213,married,42,unknown
c4605,teacher,990162,unmarried,39,unknown
c4762,doctor,1996205,unmarried,44,unknown
c1640,engineer,1108619,married,50,t0
c5316,business,1059476,unmarried,42,t1
c2628,business,1104829,unmarried,42,t2
c4958,business,1880775,unmarried,44,t0
c4699,lawyer,997540,unmarried,36,unknown
c5168,doctor,1532385,unmarried,38,t1
c1851,engineer,1468861,married,45,t2
c3861,engineer,900947,unmarried,46,t3
c1574,engineer,1093488,unmarried,31,t0
c5016,teacher,1028552,married,35,t2
c2442,doctor,1964077,married,48,t0
c2859,lawyer,1598856,married,44,unknown
c2453,engineer,1191397,married,33,t1
c5567,lawyer,642257,married,42,unknown
c2930,doctor,1002813,unmarried,45,t0
c1034,lawyer,1215200,unmarried,46,t0
c3678,lawyer,1327525,married,33,t2
c1703,engineer,1462308,unmarried,40,t2
c4254,engineer,1777614,unmarried,31,t1
c5036,business,1962646,unmarried,35,unknown
c2655,teacher,1180100,married,44,t3
c1164,business,955736,unmarried,38,t1
c3697,business,1930541,married,41,t1
c3066,business,799680,married,46,t0
c5311,teacher,1764866,married,35,t2
c2028,engineer,858003,unmarried,48,t2
c1896,lawyer,696813,unmarried,44,t3
c5469,business,1032393,married,30,t2
c5358,business,704271,unmarried,39,t1
c5376,engineer,1220622,unmarried,40,unknown
c3165,engineer,1212489,married,41,t3
c5641,teacher,1784549,married,32,t0
c5570,engineer,1725213,unmarried,42,t0
c1939,business,1102567,married,40,t0
c4281,teacher,816739,unmarried,40,t3
c5480,business,1400376,unmarried,43,t0
c5525,doctor,1745103,married,47,unknown
c1691,engineer,635930,unmarried,41,t2
c4616,teacher,1591169,unmarried,44,t3
c1845,business,1464171,unmarried,49,unknown
c3198,engineer,1205864,married,47,t0
c4694,lawyer,648629,unmarried,49,t3
c4587,doctor,1883315,married,48,t0
c3413,doctor,1859957,married,33,t3
c5624,lawyer,1415183,married,45,t2
c5835,doctor,1379104,married,48,unknown
c3540,teacher,1130672,unmarried,43,t3
c1460,business,920984,married,30,t0
c5415,teacher,843858,unmarried,35,unknown
c2385,lawyer,779780,married,35,t0
c3294,doctor,1466316,married,35,t3
c5992,lawyer,1892304,married,40,t1
c4138,teacher,1624178,married,31,t3
c4552,business,620676,unmarried,34,t2
c1232,teacher,2015232,married,48,t3
c4393,doctor,1160476,unmarried,35,t3
c2976,business,1020973,married,43,t2
c1301,engineer,1667379,married,45,t1
c3559,teacher,1793286,married,37,t0
c3930,doctor,738961,married,39,t2
c2492,lawyer,1818528,unmarried,42,t0
c3910,business,1356086,married,45,t0
c2610,teacher,1011492,married,31,t0
c2486,business,1467962,unmarried,37,t1
c4823,doctor,1679858,married,37,t3
c2565,engineer,1828015,married,45,t0
c5654,engineer,1475680,married,41,t2
c1632,engineer,1906775,married,30,t0
c4230,doctor,933971,unmarried,39,t3
c3943,engineer,1528865,married,44,unknown
c1228,engineer,640458,married,33,unknown
c1015,business,1643196,unmarried,32,t0
c4414,business,1651041,married,48,unknown
c4881,lawyer,1995619,unmarried,45,t2
c1056,engineer,1718616,married,48,unknown
c4356,business,1521056,married,37,unknown
c3039,doctor,1831191,married,31,unknown
c5873,lawyer,1109612,unmarried,49,unknown
c3467,doctor,977157,married,48,t1
c5324,lawyer,1904474,married,37,t0
c4432,teacher,878844,married,47,t2
c5013,lawyer,1664464,unmarried,31,t3
c5526,business,1201228,unmarried,43,unknown
c4854,business,1757626,married,39,t3
c5507,doctor,1207428,married,43,unknown
c2481,teacher,1017153,married,43,unknown
c4926,lawyer,690722,unmarried,50,t3
c1609,lawyer,1235555,married,35,unknown
c1926,doctor,1781984,married,47,unknown
c5409,engineer,962804,married,35,t3
c5352,doctor,1178994,married,33,t2
c4740,doctor,1584624,married,42,t3
c2179,teacher,1209154,unmarried,43,t1
c5562,lawyer,1227367,unmarried,37,unknown
c3317,teacher,1039451,married,49,t0
c1029,doctor,1988856,unmarried,31,t1
c2784,engineer,937725,married,41,unknown
c5321,teacher,1243151,married,36,unknown
c5167,business,1754655,married,47,unknown
c1952,teacher,1610531,married,32,t1
c2778,engineer,1324995,unmarried,38,unknown
c3720,teacher,1118422,unmarried,49,t2
c3095,business,775485,unmarried,37,t2
c3447,teacher,840110,unmarried,31,unknown
c2579,business,1654315,unmarried,32,t0
c4085,teacher,1807722,unmarried,34,t2
c3000,business,2010479,married,33,t0
c5854,lawyer,1527312,unmarried,36,t1
c1990,business,1265412,unmarried,34,unknown
c5566,business,1193940,unmarried,45,t2
c2135,business,685743,married,45,t0
c4009,engineer,699288,married,49,t2
c5748,doctor,1087452,married,40,t1
c2092,doctor,658708,married,43,unknown
c4176,engineer,922440,married,37,t3
c2062,engineer,1741906,married,39,t3
c4726,teacher,1987423,married,47,t1
c5728,teacher,801378,married,49,t2
c4282,business,1659632,unmarried,48,t2
c4410,teacher,1787743,unmarried,46,t3
c5175,lawyer,903102,married,42,unknown
c1961,lawyer,713966,married,30,t2
c3759,business,806649,married,49,unknown
c4748,engineer,1989187,married,45,t2
c1351,doctor,1557958,unmarried,31,t0
c5916,teacher,1637929,unmarried,38,t0
c1591,business,1448067,married,46,unknown
c5899,lawyer,1032034,married,50,t0
c1424,doctor,1231066,married,50,t3
c3968,teacher,1341627,married,48,unknown
c2811,lawyer,844931,unmarried,40,t1
c1341,doctor,849431,married,42,t3
c1488,lawyer,1587342,unmarried,44,unknown
c2021,lawyer,714756,married,44,t0
c5762,business,915935,married,45,t0
c3527,business,931611,married,41,t2
c1891,teacher,706516,married,50,t1
c5564,lawyer,2007373,married,40,t1
c3303,teacher,1571123,married,45,t1
c3063,business,941231,married,48,t1
c3611,business,923216,unmarried,42,t0
c1953,lawyer,1203862,unmarried,46,t1
c1816,teacher,899535,unmarried,42,t3
c2850,lawyer,1266853,married,46,t2
c4837,engineer,1024568,married,36,t1
c4580,teacher,932920,unmarried,37,t2
c1110,lawyer,760062,married,40,t1
c4222,doctor,717100,married,30,unknown
c1278,teacher,1787621,unmarried,44,t3
c5722,doctor,1072739,married,49,t3
c1454,doctor,1193988,married,46,t3
c3104,engineer,1340841,unmarried,47,t1
c2810,teacher,1860196,married,43,t2
c4147,doctor,1634241,married,46,t3
c2961,engineer,1377681,unmarried,44,t2
c4943,engineer,1805578,unmarried,44,t1
c3083,business,1095829,married,32,t0
c5191,engineer,949335,married,36,t0
c5336,business,1404163,unmarried,44,t1
c4651,lawyer,1482519,married,41,t1
c2085,lawyer,1380725,unmarried,49,t1
c1983,lawyer,628765,married,48,t2
c4626,teacher,1811998,unmarried,41,t2
c4639,engineer,1258028,married,31,t0
c3796,engineer,844219,married,43,unknown
c2276,doctor,892202,married,42,t3
c5274,engineer,1683769,unmarried,40,t3
c1621,doctor,1572850,unmarried,36,t2
c2827,engineer,1276011,married,49,unknown
c4733,lawyer,1665364,unmarried,31,t2
c3692,business,781902,married,31,t0
c3182,lawyer,1260172,married,31,unknown
c3110,engineer,1520630,unmarried,38,t1
c5961,engineer,1844166,married,49,t1
c1915,business,1065271,married,32,t2
c4113,lawyer,1451459,unmarried,32,unknown
c3579,teacher,1573312,unmarried,47,t0
c1735,doctor,1409016,married,44,t3
c3627,engineer,620691,unmarried,33,unknown
c2326,doctor,1357218,married,42,unknown
c4565,teacher,799738,unmarried,44,unknown
c1465,doctor,1973362,married,34,unknown
c5254,engineer,1551820,married,47,t0
c5340,engineer,733473,unmarried,40,unknown
c4988,teacher,1016863,married,40,t1
c1367,lawyer,1698207,married,40,t3
c4130,business,1070355,married,41,t0
c1527,business,1887611,unmarried,41,t1
c1470,engineer,1295139,unmarried,38,t2
c3190,lawyer,1463946,married,34,t1
c1974,doctor,1955221,unmarried,39,t1
c3223,lawyer,1086759,unmarried,33,unknown
c2053,teacher,1500782,unmarried,38,unknown
c4151,lawyer,1294125,married,32,t0
c1676,doctor,919567,unmarried,47,unknown
c3662,engineer,1314955,unmarried,41,unknown
c2198,lawyer,1900074,married,38,t3
c1552,doctor,1259591,unmarried,43,t0
c4406,lawyer,876551,married,35,t1
c1844,engineer,1183006,unmarried,37,t0
c3203,doctor,663255,married,40,t1
c1040,business,626609,unmarried,30,t3
c2401,doctor,739135,married,49,t2
c3542,lawyer,1473086,married,34,t3
c4489,engineer,1155114,unmarried,43,unknown
c5203,lawyer,1178434,married,49,t1
c3375,business,617529,married,45,unknown
c2498,lawyer,991505,unmarried,32,unknown
c1236,business,1927086,married,37,unknown
c3589,lawyer,1824220,married,39,t1
c4975,doctor,710978,unmarried,37,t1
c2125,lawyer,1925491,married,41,t2
c5047,engineer,1873009,married,48,t1
c1136,doctor,1716402,unmarried,49,unknown
c4476,doctor,786016,unmarried,31,t1
c2501,engineer,835253,married,37,t2
c1858,doctor,1876531,unmarried,35,t2
c2673,lawyer,1465953,unmarried,46,unknown
c1526,engineer,1717710,married,39,unknown
c3807,doctor,1685815,married,46,unknown
c3578,lawyer,1115839,unmarried,47,t0
c4054,doctor,950494,married,43,t3
c3829,business,1861506,married,37,t1
c1962,lawyer,1946066,married,48,t0
c5601,teacher,1917115,married,30,unknown
c3348,teacher,1390661,married,42,t3
c4919,business,1703957,married,33,t0
c4950,doctor,1764683,unmarried,44,t3
c2451,business,1131604,married,50,t3
c4261,teacher,966438,married,35,t0
c5796,lawyer,1979883,married,43,t0
c3008,business,1966387,unmarried,33,t0
c2841,business,731086,married,34,t0
c4238,engineer,1708175,unmarried,36,t1
c4911,doctor,1331035,married,32,t3
c1028,engineer,1295121,married,35,t3
c4509,business,1796888,married,36,t1
c1773,business,786618,married,35,t3
c4082,teacher,1707112,married,38,t0
c4034,engineer,1217317,married,44,unknown
c4997,doctor,1830017,married,43,t1
c2934,business,739821,married,49,t2
c2590,lawyer,1211489,married,40,t0
c4979,doctor,1870957,unmarried,43,t2
c4391,engineer,1452469,unmarried,42,t3
c4288,doctor,1529102,unmarried,49,t0
c4569,teacher,1528396,unmarried,47,t3
c2150,engineer,872954,married,47,unknown
c5133,doctor,1565890,married,43,unknown
c4232,teacher,1017633,married,46,t3
c2714,teacher,1523768,married,46,t2
c5906,lawyer,1745272,unmarried,35,t2
c2474,doctor,1083459,unmarried,44,t2
c4357,engineer,1612205,unmarried,46,t3
c1713,lawyer,877740,unmarried,42,unknown
c3641,teacher,986357,unmarried,31,t2
c3655,lawyer,1188199,unmarried,48,unknown
c3326,lawyer,995440,married,37,t1
c1020,doctor,954134,married,50,t3
c1700,lawyer,1936302,unmarried,48,unknown
c5328,lawyer,654946,unmarried,41,t1
c1379,doctor,1753562,married,34,t0
c1596,engineer,1314753,married,48,t1
c4708,business,1850528,unmarried,42,unknown
c2305,engineer,973150,unmarried,36,unknown
c3350,lawyer,1287907,married,33,t1
c5726,doctor,1805816,married,40,t3
c3728,doctor,889852,married,31,t2
c2043,business,1904736,married,31,unknown
c4880,doctor,1642174,unmarried,30,t3
c5447,lawyer,1464182,married,37,t0
c3923,doctor,1207105,unmarried,47,t1
c4904,business,1047114,married,39,t1
c2299,teacher,1115392,unmarried,48,unknown
c4706,engineer,759775,unmarried,48,t1
c4874,business,938872,married,47,t1
c5560,teacher,1382416,married,48,t3
c4566,lawyer,1962814,unmarried,40,t0
c1859,business,1503654,married,35,unknown
c1622,business,1751277,unmarried,37,t1
c2338,teacher,1035053,unmarried,31,t0
c2083,business,1527922,unmarried,31,unknown
c3421,teacher,616579,married,44,t0
c4475,lawyer,1439347,married,35,t3
c4628,engineer,932844,unmarried,46,t1
c4980,lawyer,1076705,married,43,t2
c3608,business,698591,unmarried,33,t0
c1230,business,1239092,unmarried,47,t1
c1946,engineer,1381251,married,32,t2
c3009,business,2012542,unmarried,49,t2
c5502,engineer,1276513,married,44,t2
c5061,lawyer,1227209,married,38,t3
c3990,business,1302185,married,34,unknown
c3872,business,768090,unmarried,34,t2
c2121,teacher,1160173,unmarried,45,t3
c3207,engineer,1370007,married,48,t3
c5275,engineer,1091967,unmarried,44,t0
c1861,business,1371958,married,48,t2
c2797,teacher,1639878,unmarried,34,t3
c2352,teacher,1780432,married,48,t3
c1132,lawyer,1160909,unmarried,40,t0
c2779,engineer,945312,married,44,t2
c3846,doctor,695959,married,41,unknown
c2002,engineer,1442458,unmarried,31,unknown
c1043,lawyer,1198664,unmarried,31,t1
c2285,doctor,781740,unmarried,41,unknown
c5032,engineer,637104,unmarried,37,t1
c2690,business,1523162,unmarried,33,unknown
c2119,lawyer,734891,unmarried,34,t1
c3863,doctor,1398914,married,34,t3
c3038,teacher,1303767,unmarried,48,unknown
c4759,business,845996,married,43,t3
c1546,doctor,1405557,married,38,t2
c2219,teacher,1606461,unmarried,33,t2
c2782,business,1995166,unmarried,36,t2
c2675,lawyer,1643515,married,48,unknown
c1849,lawyer,1373865,unmarried,49,t1
c5243,doctor,1476024,unmarried,49,t0
c2599,doctor,1874072,married,45,t2
c1427,doctor,1375261,married,47,t2
c2139,doctor,1154700,unmarried,41,unknown
c4158,doctor,1857776,married,46,t0
c1065,business,1985493,unmarried,35,unknown
c2491,business,1360556,unmarried,43,t1
c3087,business,726555,married,34,t0
c5940,engineer,837131,married,32,t2
c4486,lawyer,710926,unmarried,43,t3
c3410,doctor,1303114,unmarried,37,t2
c4609,doctor,893808,unmarried,38,unknown
c1055,business,1663038,unmarried,35,unknown
c4371,doctor,1360733,unmarried,44,t3
c1868,teacher,777476,married,47,t0
c5721,business,668663,married,32,t2
c5023,lawyer,1972558,married,46,t2
c1758,teacher,1802445,married,38,unknown
c4526,lawyer,1948307,married,48,t3
c2867,engineer,1708415,unmarried,43,t2
c4556,doctor,1294253,unmarried,34,t1
c3468,engineer,842147,unmarried,42,t2
c5776,lawyer,1888792,unmarried,33,unknown
c5232,engineer,1704534,married,35,unknown
c1802,engineer,1435563,married,41,t1
c1543,teacher,870366,married,35,t1
c1760,business,1261834,unmarried,33,unknown
c1233,teacher,723820,married,49,unknown
c5672,lawyer,632024,unmarried,31,t1
c1821,lawyer,1477499,unmarried,37,t3
c1673,lawyer,1172112,married,41,t2
c2923,doctor,1967074,unmarried,40,t0
c5571,teacher,1694041,unmarried,45,t1
c4607,engineer,1962011,married,31,t0
c3386,teacher,1326474,unmarried,32,unknown
c4434,teacher,1275678,unmarried,37,unknown
c2402,teacher,1899053,married,37,t1
c2055,business,938679,married,41,t0
c5011,engineer,1337127,unmarried,47,t3
c4070,doctor,1324077,unmarried,37,t3
c3932,doctor,1143418,unmarried,30,t2
c3370,engineer,642331,married,45,t2
c3750,engineer,1938711,married,45,t2
c4595,business,832534,unmarried,38,unknown
c5342,engineer,1972157,unmarried,43,t2
c5045,engineer,1981266,married,37,t0
c2283,doctor,1524619,married,38,t2
c3385,engineer,669885,married,34,t1
c3634,teacher,1752370,married,36,t0
c4321,lawyer,786908,unmarried,32,t2
c3797,business,1697432,married,33,t0
c4135,engineer,1645217,unmarried,37,unknown
c1817,lawyer,1047947,unmarried,47,t2
c3741,doctor,1057534,married,44,t2
c2861,teacher,1067921,married,40,t2
